Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,TimeSec
227,2:22:21,Aberu KEBEDE,1986-09-12,ETH,1,Frankfurt (GER),2014-10-26,28,34,2014,8541.0
228,2:22:22,Lornah KIPLAGAT,1974-05-01,KEN,4,Osaka (JPN),2003-01-26,28,46,2003,8542.0
229,2:22:23,Catherina MCKIERNAN,1969-11-30,IRL,1,Amsterdam (NED),1998-11-01,28,51,1998,8543.0
230,2:22:23,Tirfi TSEGAYE,1984-11-25,ETH,1,Tokyo (JPN),2014-02-23,29,36,2014,8543.0
231,2:22:23,Tadelech BEKELE ALEMU,1991-04-11,ETH,3,Praha (CZE),2017-05-07,26,29,2017,8543.0
232,2:22:23,Mizuki MATSUDA,1995-05-31,JPN,5,Berlin (GER),2018-09-16,23,25,2018,8543.0
233,2:22:25,Helalia JOHANNES,1980-08-13,NAM,1,Nagoya (JPN),2019-03-10,38,40,2019,8545.0
234,2:22:25,Vivian KIPLAGAT,1991-11-09,KEN,1,Milano (ITA),2019-04-07,27,29,2019,8545.0
235,2:22:28,Sharon Jemutai CHEROP,1984-03-16,KEN,2,Berlin (GER),2013-09-29,29,36,2013,8548.0
236,2:22:29,Meselech MELKAMU,1985-04-19,ETH,3,Dubai (UAE),2016-01-22,30,35,2016,8549.0
237,2:22:29,Mimi BELETE,1988-06-09,BRN,1,Toronto (CAN),2018-10-21,30,32,2018,8549.0
238,2:22:29,Abeba-Tekulu GEBREMESKEL,1989-01-01,ETH,8,Valencia (ESP),2019-12-01,30,31,2019,8549.0
239,2:22:30,Birhane DIBABA,1993-09-11,ETH,2,Tokyo (JPN),2014-02-23,20,27,2014,8550.0
240,2:22:31,Svetlana ZAKHAROVA,1970-09-15,RUS,2,London (GBR),2002-04-14,31,50,2002,8551.0
241,2:22:33,Lyudmila PETROVA,1968-10-07,RUS,3,London (GBR),2002-04-14,33,52,2002,8553.0
242,2:22:34,Lydia CHEROMEI,1977-05-11,KEN,1,Praha (CZE),2011-05-08,33,43,2011,8554.0
243,2:22:34,Caroline Cheptanui KILEL,1981-03-21,KEN,1,Frankfurt (GER),2013-10-27,32,39,2013,8554.0
244,2:22:35,Margaret OKAYO,1976-05-30,KEN,1,London (GBR),2004-04-18,27,44,2004,8555.0
245,2:22:35,Marta MEGRA,1990-12-30,ETH,2,Toronto (CAN),2018-10-21,27,29,2018,8555.0
246,2:22:36,Lornah KIPLAGAT,1974-05-01,KEN,2,"Chicago, IL (USA)",2000-10-22,26,46,2000,8556.0
247,2:22:36,Benita WILLIS-JOHNSON,1979-05-06,AUS,3,"Chicago, IL (USA)",2006-10-22,27,41,2006,8556.0
248,2:22:36,Edna Ngeringwony KIPLAGAT,1979-11-15,KEN,3,Tokyo (JPN),2016-02-28,36,41,2016,8556.0
249,2:22:36,Worknesh DEGEFA,1990-10-28,ETH,1,Dubai (UAE),2017-01-20,26,30,2017,8556.0
250,2:22:36,Ruth CHEPNGETICH,1994-08-08,KEN,1,Istanbul (TUR),2017-11-12,23,26,2017,8556.0
251,2:22:38,Yingying ZHANG,1990-01-04,CHN,1,Xiamen (CHN),2008-01-05,18,30,2008,8558.0
252,2:22:38,Asselefech MEDESSA MERGIA,1985-01-23,ETH,1,London (GBR),2010-04-25,25,35,2010,8558.0
253,2:22:38,Joyciline JEPKOSGEI,1993-12-08,KEN,1,"New York, NY (USA)",2019-11-03,25,27,2019,8558.0
254,2:22:39,Sharon Jemutai CHEROP,1984-03-16,KEN,7,Dubai (UAE),2012-01-27,27,36,2012,8559.0
255,2:22:39,Dera DIDA,1996-10-26,ETH,5,Frankfurt (GER),2018-10-28,22,24,2018,8559.0
256,2:22:39,Shitaye ESHETE,1990-05-21,BRN,2,Praha (CZE),2019-05-05,28,30,2019,8559.0
257,2:22:40,Eunice Jepkirui KIRWA,1984-05-20,BRN,1,Nagoya (JPN),2016-03-13,31,36,2016,8560.0
258,2:22:40,Visiline JEPKESHO,1989-12-30,KEN,2,Istanbul (TUR),2017-11-12,27,30,2017,8560.0
259,2:22:40,Bruktayit ESHETU,1990-09-29,ETH,2,Toronto (CAN),2019-10-20,29,30,2019,8560.0
260,2:22:40,Mimi BELETE,1988-06-09,BRN,2,Osaka (JPN),2020-01-26,31,32,2020,8560.0
261,2:22:41,Jiali WANG,1986-02-01,CHN,1,Chongqing (CHN),2012-03-18,26,34,2012,8561.0
262,2:22:41,Lucy Kabuu WANGUI,1984-03-24,KEN,3,"Chicago, IL (USA)",2012-10-07,28,36,2012,8561.0
263,2:22:41,Afera GODFAY,1991-09-25,ETH,1,Dongying (CHN),2019-04-20,27,29,2019,8561.0
264,2:22:41,Yuka ANDO,1994-03-16,JPN,2,Nagoya (JPN),2020-03-08,25,26,2020,8561.0
265,2:22:42,Berhane ADERE,1973-11-23,ETH,1,Dubai (UAE),2008-01-18,34,47,2008,8562.0
266,2:22:43,Sharon Jemutai CHEROP,1984-03-16,KEN,1,Toronto (CAN),2010-09-26,26,36,2010,8563.0
267,2:22:43,Koren Jelila YAL,1987-01-18,ETH,1,Toronto (CAN),2011-10-16,24,33,2011,8563.0
268,2:22:43,Roza DEREJE,1997-05-09,ETH,1,Shanghai (CHN),2017-11-12,20,23,2017,8563.0
269,2:22:43,Betsy SAINA,1988-06-30,KEN,3,Toronto (CAN),2019-10-20,31,32,2019,8563.0
270,2:22:44,Tirfi TSEGAYE,1984-11-25,ETH,2,Toronto (CAN),2010-09-26,25,36,2010,8564.0
271,2:22:44,Philomena CHEYECH,1982-07-05,KEN,1,Paris (FRA),2014-04-06,31,38,2014,8564.0
272,2:22:44,Mizuki MATSUDA,1995-05-31,JPN,1,Osaka (JPN),2018-01-28,22,25,2018,8564.0
273,2:22:45,Asselefech MEDESSA MERGIA,1985-01-23,ETH,1,Dubai (UAE),2011-01-21,25,35,2011,8565.0
274,2:22:45,Sentayehu LEWETEGN,1996-05-09,ETH,6,Frankfurt (GER),2018-10-28,22,24,2018,8565.0
275,2:22:45,Waganesh MEKASHA,1992-01-16,ETH,4,Dubai (UAE),2019-01-25,27,28,2019,8565.0
276,2:22:45,Tigist ABAYECHEW,1994-02-22,ETH,4,Dubai (UAE),2020-01-24,25,26,2020,8565.0
277,2:22:46,Reiko TOSA,1976-06-11,JPN,4,London (GBR),2002-04-14,25,44,2002,8566.0
278,2:22:46,Nancy Jepkosgei KIPROP,1979-07-07,KEN,7,Frankfurt (GER),2018-10-28,39,41,2018,8566.0
279,2:22:47,Gelete BURKA,1986-01-23,ETH,1,Paris (FRA),2019-04-14,33,34,2019,8567.0
280,2:22:48,Ingrid KRISTIANSEN,1956-03-21,NOR,1,London (GBR),1987-05-10,31,64,1987,8568.0
281,2:22:48,Tegla LOROUPE,1973-05-09,KEN,1,Rotterdam (NED),1999-04-18,25,47,1999,8568.0
282,2:22:48,Sairi MAEDA,1991-11-07,JPN,2,Nagoya (JPN),2015-03-08,23,29,2015,8568.0
283,2:22:48,Valary JEMELI,1991-06-08,KEN,2,Nagoya (JPN),2018-03-11,26,29,2018,8568.0
284,2:22:48,Helen BEKELE,1994-11-21,ETH,6,Berlin (GER),2018-09-16,23,26,2018,8568.0
285,2:22:48,Mary Jepkosgei KEITANY,1982-01-18,KEN,1,"New York, NY (USA)",2018-11-04,36,38,2018,8568.0
286,2:22:50,Constantina DITA-TOMESCU,1970-01-23,ROU,2,London (GBR),2005-04-17,35,50,2005,8570.0
287,2:22:51,Tadelech BEKELE ALEMU,1991-04-11,ETH,7,Dubai (UAE),2015-01-23,23,29,2015,8571.0
288,2:22:51,Yebrgual MELESE,1990-04-18,ETH,5,Paris (FRA),2017-04-09,26,30,2017,8571.0
289,2:22:51,Helen BEKELE,1994-11-21,ETH,4,Berlin (GER),2017-09-24,22,26,2017,8571.0
290,2:22:51,Ashete BEKERE,1988-04-17,ETH,4,London (GBR),2020-10-04,32,32,2020,8571.0
291,2:22:52,Alemu MEGERTU,1997-01-01,ETH,1,Roma (ITA),2019-04-07,22,23,2019,8572.0
292,2:22:52,Azmera GEBRU,1995-10-21,ETH,2,Paris (FRA),2019-04-14,23,25,2019,8572.0
293,2:22:52,Dera DIDA,1996-10-26,ETH,5,Dubai (UAE),2020-01-24,23,24,2020,8572.0
294,2:22:53,Galina BOGOMOLOVA,1977-10-15,RUS,1,Roma (ITA),2008-03-16,30,43,2008,8573.0
295,2:22:53,Tadelech BEKELE ALEMU,1991-04-11,ETH,9,Valencia (ESP),2019-12-01,28,29,2019,8573.0
296,2:22:54,Lidia ŞIMON,1973-09-04,ROU,1,Osaka (JPN),2000-01-30,26,47,2000,8574.0
297,2:22:55,Prisca JEPTOO,1984-06-24,KEN,1,Paris (FRA),2011-04-10,26,36,2011,8575.0
298,2:22:55,Ashete BEKERE,1988-04-17,ETH,1,Rotterdam (NED),2019-04-07,30,32,2019,8575.0
299,2:22:56,Harumi HIROYAMA-SUZUKI,1968-09-02,JPN,2,Osaka (JPN),2000-01-30,31,52,2000,8576.0
300,2:22:56,Jelena PROKOPČUKA,1976-09-21,LAT,1,Osaka (JPN),2005-01-30,28,44,2005,8576.0
301,2:22:56,Betsy SAINA,1988-06-30,KEN,1,Paris (FRA),2018-04-08,29,32,2018,8576.0
302,2:22:56,Purity Cherotich RIONORIPO,1993-06-10,KEN,3,Nagoya (JPN),2020-03-08,26,27,2020,8576.0
303,2:22:57,Shure DEMISE,1996-01-21,ETH,2,Dubai (UAE),2017-01-20,20,24,2017,8577.0
304,2:22:58,Jemima Jelagat SUMGONG,1984-12-21,KEN,1,London (GBR),2016-04-24,31,35,2016,8578.0
305,2:22:58,Visiline JEPKESHO,1989-12-30,KEN,1,Ljubljana (SLO),2018-10-28,28,30,2018,8578.0
306,2:22:58,Visiline JEPKESHO,1989-12-30,KEN,2,Nagoya (JPN),2019-03-10,29,30,2019,8578.0
307,2:22:58,Azmera GEBRU,1995-10-21,ETH,6,Tokyo (JPN),2020-03-01,24,25,2020,8578.0
308,2:22:59,Madaí PÉREZ,1980-02-02,MEX,4,"Chicago, IL (USA)",2006-10-22,26,40,2006,8579.0
309,2:22:59,Ruth CHEPNGETICH,1994-08-08,KEN,2,Paris (FRA),2018-04-08,23,26,2018,8579.0
310,2:23:00,Filomena CHEPCHIRCHIR,1981-12-01,KEN,2,Frankfurt (GER),2013-10-27,31,39,2013,8580.0
311,2:23:01,Lydia CHEROMEI,1977-05-11,KEN,2,Dubai (UAE),2011-01-21,33,43,2011,8581.0
312,2:23:01,Birhane DIBABA,1993-09-11,ETH,3,Frankfurt (GER),2013-10-27,20,27,2013,8581.0
313,2:23:01,Aberu KEBEDE,1986-09-12,ETH,4,Tokyo (JPN),2016-02-28,29,34,2016,8581.0
314,2:23:01,Valary JEMELI,1991-06-08,KEN,3,Nagoya (JPN),2019-03-10,27,29,2019,8581.0
315,2:23:02,Valentine KIPKETER,1993-01-05,KEN,1,Amsterdam (NED),2013-10-20,20,27,2013,8582.0
316,2:23:02,Tadelech BEKELE ALEMU,1991-04-11,ETH,4,Berlin (GER),2014-09-28,23,29,2014,8582.0
317,2:23:03,Tigist TUFA,1987-01-26,ETH,2,London (GBR),2016-04-24,29,33,2016,8583.0
318,2:23:03,Sentayehu LEWETEGN,1996-05-09,ETH,3,Osaka (JPN),2020-01-26,23,24,2020,8583.0
319,2:23:05,Ingrid KRISTIANSEN,1956-03-21,NOR,2,"Chicago, IL (USA)",1985-10-20,29,64,1985,8585.0
320,2:23:05,Marleen RENDERS,1968-12-24,BEL,1,Paris (FRA),2002-04-07,33,51,2002,8585.0
321,2:23:06,Merima MOHAMMED,1992-06-10,ETH,3,Toronto (CAN),2010-09-26,18,28,2010,8586.0
322,2:23:06,Gulume CHALA,1992-09-11,ETH,3,Paris (FRA),2018-04-08,25,28,2018,8586.0
323,2:23:07,Svetlana ZAKHAROVA,1970-09-15,RUS,1,"Chicago, IL (USA)",2003-10-12,33,50,2003,8587.0
324,2:23:07,Tiki GELANA,1987-10-22,ETH,1,"Olympic Stadium, London (GBR)",2012-08-05,24,33,2012,8587.0
325,2:23:07,Lydia CHEROMEI,1977-05-11,KEN,1,Yokohama (JPN),2012-11-18,35,43,2012,8587.0
326,2:23:07,Boru Feyse TADESE,1988-11-19,ETH,1,Shanghai (CHN),2012-12-02,24,32,2012,8587.0
327,2:23:07,Hanami SEKINE,1996-02-26,JPN,3,Nagoya (JPN),2018-03-11,22,24,2018,8587.0
328,2:23:07,Birhane DIBABA,1993-09-11,ETH,9,Valencia (ESP),2020-12-06,27,27,2020,8587.0
329,2:23:08,Asselefech MEDESSA MERGIA,1985-01-23,ETH,3,London (GBR),2017-04-23,32,35,2017,8588.0
330,2:23:08,Emily SISSON,1991-10-12,USA,6,London (GBR),2019-04-28,27,29,2019,8588.0
331,2:23:09,Bezunesh BEKELE,1983-01-29,ETH,2,Dubai (UAE),2008-01-18,24,37,2008,8589.0
332,2:23:09,Ashu KASIM,1984-10-20,ETH,1,Xiamen (CHN),2012-01-07,27,36,2012,8589.0
333,2:23:09,Amane GOBENA,1986-09-11,ETH,3,Tokyo (JPN),2017-02-26,30,34,2017,8589.0
334,2:23:11,Yoko SHIBUI,1979-03-14,JPN,1,Osaka (JPN),2001-01-28,21,41,2001,8591.0
335,2:23:11,Lonah Chemtai SALPETER,1988-12-12,ISR,4,Frankfurt (GER),2019-10-27,30,32,2019,8591.0
336,2:23:12,Susan CHEPKEMEI,1975-06-25,KEN,4,London (GBR),2003-04-13,27,45,2003,8592.0
337,2:23:12,Yanan WEI,1981-12-06,CHN,1,Seoul (KOR),2007-03-18,25,39,2007,8592.0
338,2:23:12,Mara YAMAUCHI,1973-08-13,GBR,2,London (GBR),2009-04-26,35,47,2009,8592.0
339,2:23:12,Lucy Kabuu WANGUI,1984-03-24,KEN,5,London (GBR),2012-04-22,28,36,2012,8592.0
340,2:23:12,Prisca JEPTOO,1984-06-24,KEN,2,"Olympic Stadium, London (GBR)",2012-08-05,28,36,2012,8592.0
341,2:23:12,Gulume CHALA,1992-09-11,ETH,1,Frankfurt (GER),2015-10-25,23,28,2015,8592.0
342,2:23:12,Dinknesh Mekash TEFERA,1985-09-11,ETH,2,Frankfurt (GER),2015-10-25,30,35,2015,8592.0
343,2:23:13,Atsede BAYISA,1987-04-16,ETH,8,Dubai (UAE),2012-01-27,24,33,2012,8593.0
344,2:23:13,Yebrgual MELESE,1990-04-18,ETH,3,Dubai (UAE),2017-01-20,26,30,2017,8593.0
345,2:23:13,Juliet CHEKWEL,1990-05-25,UGA,1,Sevilla (ESP),2020-02-23,29,30,2020,8593.0
346,2:23:14,Naoko TAKAHASHI,1972-05-06,JPN,1,"Olympic Stadium, Sydney (AUS)",2000-09-24,28,48,2000,8594.0
347,2:23:14,Lyudmila PETROVA,1968-10-07,RUS,5,London (GBR),2003-04-13,34,52,2003,8594.0
348,2:23:14,Alemitu Abera BEGNA,1986-01-01,ETH,1,"Houston, TX (USA)",2012-01-15,26,34,2012,8594.0
349,2:23:14,Merima MOHAMMED,1992-06-10,ETH,2,Paris (FRA),2013-04-07,20,28,2013,8594.0
350,2:23:14,Tadelech BEKELE ALEMU,1991-04-11,ETH,1,Amsterdam (NED),2018-10-21,27,29,2018,8594.0
351,2:23:14,Kuftu TAHIR,1995-10-13,ETH,4,Ljubljana (SLO),2019-10-27,24,25,2019,8594.0
352,2:23:15,Firehiwot Tesfaye DADO,1984-01-09,ETH,1,"New York, NY (USA)",2011-11-06,27,36,2011,8595.0
353,2:23:15,Mulu SEBOKA,1984-09-25,ETH,1,Toronto (CAN),2014-10-19,30,36,2014,8595.0
354,2:23:15,Birhane DIBABA,1993-09-11,ETH,1,Tokyo (JPN),2015-02-22,21,27,2015,8595.0
355,2:23:15,Selly Chepyego KAPTICH,1985-10-03,KEN,2,Ljubljana (SLO),2018-10-28,33,35,2018,8595.0
356,2:23:16,Birhane DIBABA,1993-09-11,ETH,5,Tokyo (JPN),2016-02-28,22,27,2016,8596.0
357,2:23:17,Shujing ZHANG,1978-09-13,CHN,2,Beijing (CHN),2002-10-13,24,42,2002,8597.0
358,2:23:17,Gete WAMI,1974-12-11,ETH,1,Berlin (GER),2007-09-30,32,46,2007,8597.0
359,2:23:17,Bezunesh BEKELE,1983-01-29,ETH,2,London (GBR),2010-04-25,27,37,2010,8597.0
360,2:23:17,Hirut TIBEBU,1994-12-13,ETH,4,Nagoya (JPN),2020-03-08,25,26,2020,8597.0
361,2:23:18,Shujing ZHANG,1978-09-13,CHN,1,Seoul (KOR),2003-03-16,24,42,2003,8598.0
362,2:23:18,Philomena CHEYECH,1982-07-05,KEN,1,Saitama (JPN),2016-11-13,34,38,2016,8598.0
363,2:23:19,Susan CHEPKEMEI,1975-06-25,KEN,5,London (GBR),2002-04-14,26,45,2002,8599.0
364,2:23:19,Constantina DITA-TOMESCU,1970-01-23,ROU,3,"Olympic Stadium, Helsinki (FIN)",2005-08-14,35,50,2005,8599.0
365,2:23:19,Bizunesh DEBA,1987-09-08,ETH,2,"New York, NY (USA)",2011-11-06,24,33,2011,8599.0
366,2:23:19,Tomomi TANAKA,1988-09-25,JPN,2,Nagoya (JPN),2016-03-13,27,32,2016,8599.0
367,2:23:19,Waganesh MEKASHA,1992-01-16,ETH,2,Dongying (CHN),2019-04-20,27,28,2019,8599.0
368,2:23:19,Birke DEBELE,1995-09-12,ETH,4,Toronto (CAN),2019-10-20,24,25,2019,8599.0
369,2:23:19,Yebrgual MELESE,1990-04-18,ETH,1,Shanghai (CHN),2019-11-17,29,30,2019,8599.0
370,2:23:20,Rei OHARA,1990-08-10,JPN,3,Nagoya (JPN),2016-03-13,25,30,2016,8600.0
371,2:23:21,Aberu KEBEDE,1986-09-12,ETH,5,London (GBR),2014-04-13,27,34,2014,8601.0
372,2:23:21,Meselech MELKAMU,1985-04-19,ETH,1,Amsterdam (NED),2016-10-16,31,35,2016,8601.0
373,2:23:22,Joyce CHEPCHUMBA,1970-11-06,KEN,1,London (GBR),1999-04-18,28,50,1999,8602.0
374,2:23:22,Lidia ŞIMON,1973-09-04,ROU,2,"Olympic Stadium, Sydney (AUS)",2000-09-24,27,47,2000,8602.0
375,2:23:22,Salina Jebet KOSGEI,1976-11-16,KEN,2,Berlin (GER),2006-09-24,29,44,2006,8602.0
376,2:23:22,Caroline ROTICH,1984-05-13,KEN,4,"Chicago, IL (USA)",2012-10-07,28,36,2012,8602.0
377,2:23:22,Tigist TUFA,1987-01-26,ETH,1,London (GBR),2015-04-26,28,33,2015,8602.0
378,2:23:23,Askale Magarsa TAFA,1984-09-27,ETH,3,Dubai (UAE),2008-01-18,23,36,2008,8603.0
379,2:23:23,Risa SHIGETOMO,1987-08-29,JPN,1,Osaka (JPN),2012-01-29,24,33,2012,8603.0
380,2:23:23,Tirfi TSEGAYE,1984-11-25,ETH,1,Dubai (UAE),2013-01-25,28,36,2013,8603.0
381,2:23:23,Mamitu DASKA,1983-10-16,ETH,4,Frankfurt (GER),2013-10-27,30,37,2013,8603.0
382,2:23:23,Yebrgual MELESE,1990-04-18,ETH,1,"Houston, TX (USA)",2015-01-18,24,30,2015,8603.0
383,2:23:24,Lidia ŞIMON,1973-09-04,ROU,1,Osaka (JPN),1999-01-31,25,47,1999,8604.0
384,2:23:24,Chunxiu ZHOU,1978-11-15,CHN,1,Seoul (KOR),2005-03-13,26,42,2005,8604.0
385,2:23:25,Caroline Cheptanui KILEL,1981-03-21,KEN,1,Frankfurt (GER),2010-10-31,29,39,2010,8605.0
386,2:23:25,Mare DIBABA,1989-10-20,ETH,2,Toronto (CAN),2011-10-16,21,31,2011,8605.0
387,2:23:26,Hiromi OMINAMI,1975-11-15,JPN,2,Berlin (GER),2004-09-26,28,45,2004,8606.0
388,2:23:26,Harumi HIROYAMA-SUZUKI,1968-09-02,JPN,1,Nagoya (JPN),2006-03-12,37,52,2006,8606.0
389,2:23:26,Boru Feyse TADESE,1988-11-19,ETH,1,Seoul (KOR),2012-03-18,23,32,2012,8606.0
390,2:23:26,Meseret MENGISTU,1990-03-06,ETH,1,Paris (FRA),2015-04-12,25,30,2015,8606.0
391,2:23:27,Xue BAI,1988-12-13,CHN,2,Xiamen (CHN),2008-01-05,19,32,2008,8607.0
392,2:23:27,Jemima Jelagat SUMGONG,1984-12-21,KEN,1,Rotterdam (NED),2013-04-14,28,35,2013,8607.0
393,2:23:27,Ashete BEKERE,1988-04-17,ETH,4,Paris (FRA),2018-04-08,29,32,2018,8607.0
394,2:23:27,Sayaka SATO,1994-05-27,JPN,5,Nagoya (JPN),2020-03-08,25,26,2020,8607.0
395,2:23:28,Chunxiu ZHOU,1978-11-15,CHN,1,Xiamen (CHN),2004-03-27,25,42,2004,8608.0
396,2:23:28,Margaret AGAI,1988-06-10,KEN,1,Daegu (KOR),2013-04-14,24,32,2013,8608.0
397,2:23:28,Aberu KEBEDE,1986-09-12,ETH,1,Shanghai (CHN),2013-12-01,27,34,2013,8608.0
398,2:23:28,Edna Ngeringwony KIPLAGAT,1979-11-15,KEN,2,"Chicago, IL (USA)",2016-10-09,36,41,2016,8608.0
399,2:23:28,Shasho INSERMU,1993-09-16,ETH,2,Amsterdam (NED),2018-10-21,25,27,2018,8608.0
400,2:23:28,Bruktayit ESHETU,1990-09-29,ETH,1,"Houston, TX (USA)",2019-01-20,28,30,2019,8608.0
401,2:23:29,Rosa MOTA,1958-06-29,POR,3,"Chicago, IL (USA)",1985-10-20,27,62,1985,8609.0
402,2:23:29,Tatyana PETROVA,1983-04-08,RUS,3,"Olympic Stadium, London (GBR)",2012-08-05,29,37,2012,8609.0
403,2:23:29,Ruth CHEBITOK,1990-12-26,KEN,3,Toronto (CAN),2018-10-21,27,29,2018,8609.0
404,2:23:29,Askale MERACHI,1987-01-04,ETH,1,"Houston, TX (USA)",2020-01-19,33,33,2020,8609.0
405,2:23:30,Mari OZAKI,1975-07-16,JPN,5,Osaka (JPN),2003-01-26,27,45,2003,8610.0
406,2:23:30,Derartu TULU,1972-03-21,ETH,4,"Olympic Stadium, Helsinki (FIN)",2005-08-14,33,48,2005,8610.0
407,2:23:30,Yoshimi OZAKI,1981-07-01,JPN,1,Tokyo (JPN),2008-11-16,27,39,2008,8610.0
408,2:23:30,Amane GOBENA,1986-09-11,ETH,2,Paris (FRA),2015-04-12,28,34,2015,8610.0
409,2:23:30,Racheal MUTGAA,1988-12-12,KEN,5,Toronto (CAN),2019-10-20,30,32,2019,8610.0
410,2:23:31,Esther Wanjiru MAINA,1977-03-27,KEN,3,Osaka (JPN),2000-01-30,22,43,2000,8611.0
411,2:23:31,Salina Jebet KOSGEI,1976-11-16,KEN,2,Tokyo (JPN),2007-11-18,31,44,2007,8611.0
412,2:23:31,Lydia CHEROMEI,1977-05-11,KEN,2,Shanghai (CHN),2017-11-12,40,43,2017,8611.0
413,2:23:31,Azmera GEBRU,1995-10-21,ETH,3,Amsterdam (NED),2018-10-21,23,25,2018,8611.0
414,2:23:31,Sutume Asefa KEBEDE,1994-12-11,ETH,1,Beijing (CHN),2019-11-03,24,26,2019,8611.0
415,2:23:31,Meskerem ASSEFA,1991-10-03,ETH,4,Osaka (JPN),2020-01-26,28,29,2020,8611.0
416,2:23:32,Olena SHURHNO,1978-01-08,UKR,3,Berlin (GER),2012-09-30,34,42,2012,8612.0
417,2:23:32,Gutemi Shone IMANA,1991-11-17,ETH,2,"Houston, TX (USA)",2015-01-18,23,29,2015,8612.0
418,2:23:32,Mary Jepkosgei KEITANY,1982-01-18,KEN,2,"New York, NY (USA)",2019-11-03,37,38,2019,8612.0
419,2:23:33,Abebech AFEWORK,1990-12-11,ETH,8,Dubai (UAE),2015-01-23,24,30,2015,8613.0
420,2:23:33,Florence KIPLAGAT,1987-02-27,KEN,1,"Chicago, IL (USA)",2015-10-11,28,33,2015,8613.0
421,2:23:33,Meseret DEFAR,1983-11-19,ETH,4,Nagoya (JPN),2019-03-10,35,37,2019,8613.0
422,2:23:34,Ryoko KIZAKI,1985-06-21,JPN,1,Nagoya (JPN),2013-03-10,27,35,2013,8614.0
423,2:23:34,Eunice Jepkirui KIRWA,1984-05-20,KEN,3,Paris (FRA),2013-04-07,28,36,2013,8614.0
424,2:23:34,Firehiwot Tesfaye DADO,1984-01-09,ETH,1,Praha (CZE),2014-05-11,30,36,2014,8614.0
425,2:23:34,Dibabe KUMA,1996-09-14,ETH,3,Ljubljana (SLO),2018-10-28,22,24,2018,8614.0
426,2:23:35,Constantina DITA-TOMESCU,1970-01-23,ROU,2,"Chicago, IL (USA)",2003-10-12,33,50,2003,8615.0
427,2:23:35,Vivian Jepkemoi CHERUIYOT,1983-09-11,KEN,1,Frankfurt (GER),2017-10-29,34,37,2017,8615.0
428,2:23:35,Hirut TIBEBU,1994-12-13,ETH,3,Shanghai (CHN),2017-11-12,22,26,2017,8615.0
429,2:23:35,Azmera ABREHA,1998-01-31,ETH,3,Paris (FRA),2019-04-14,21,22,2019,8615.0
430,2:23:36,Stella BARSOSIO,1993-03-12,KEN,2,Rotterdam (NED),2019-04-07,26,27,2019,8616.0
431,2:23:36,Hawi FEYSA,1999-02-01,ETH,6,Dubai (UAE),2020-01-24,20,21,2020,8616.0
432,2:23:37,Min LIU,1983-11-29,CHN,1,Beijing (CHN),2001-10-14,17,37,2001,8617.0
433,2:23:37,Merima MOHAMMED,1992-06-10,ETH,1,"Houston, TX (USA)",2013-01-13,20,28,2013,8617.0
434,2:23:37,Shure DEMISE,1996-01-21,ETH,1,Toronto (CAN),2015-10-18,19,24,2015,8617.0
435,2:23:37,Tinbit GIDEY,1989-09-17,ETH,3,Valencia (ESP),2018-12-02,29,31,2018,8617.0
436,2:23:38,Mary Jepkosgei KEITANY,1982-01-18,KEN,3,"New York, NY (USA)",2011-11-06,29,38,2011,8618.0
437,2:23:39,Kiros REDA,1988-01-13,ETH,2,Dubai (UAE),2013-01-25,25,32,2013,8619.0
438,2:23:39,Florence KIPLAGAT,1987-02-27,KEN,3,London (GBR),2016-04-24,29,33,2016,8619.0
439,2:23:39,Desi Jisa MOKONIN,1997-07-12,BRN,4,Amsterdam (NED),2018-10-21,21,23,2018,8619.0
441,2:23:40,Atsede BAYISA,1987-04-16,ETH,1,"Chicago, IL (USA)",2010-10-10,23,33,2010,8620.0
442,2:23:40,Mary Jepkosgei KEITANY,1982-01-18,KEN,2,London (GBR),2015-04-26,33,38,2015,8620.0
443,2:23:40,Betty Wilson LEMPUS,1991-07-09,KEN,3,Shanghai (CHN),2018-11-18,27,29,2018,8620.0
444,2:23:40,Hirut TIBEBU,1994-12-13,ETH,1,Istanbul (TUR),2019-11-03,24,26,2019,8620.0
445,2:23:41,Chunxiu ZHOU,1978-11-15,CHN,2,Beijing (CHN),2003-10-19,24,42,2003,8621.0
446,2:23:41,Isabellah ANDERSSON,1980-11-12,SWE,3,Dubai (UAE),2011-01-21,30,40,2011,8621.0
447,2:23:41,Tirfi TSEGAYE,1984-11-25,ETH,3,London (GBR),2015-04-26,30,36,2015,8621.0
448,2:23:41,Valentine KIPKETER,1993-01-05,KEN,3,"Chicago, IL (USA)",2016-10-09,23,27,2016,8621.0
449,2:23:42,Yoko SHIBUI,1979-03-14,JPN,1f1,Osaka (JPN),2009-01-25,29,41,2009,8622.0
450,2:23:42,Bezunesh BEKELE,1983-01-29,ETH,3,London (GBR),2011-04-17,28,37,2011,8622.0
451,2:23:42,Chunxiu ZHOU,1978-11-15,CHN,2,Chongqing (CHN),2012-03-18,33,42,2012,8622.0
452,2:23:43,Marleen RENDERS,1968-12-24,BEL,1,Paris (FRA),2000-04-09,31,51,2000,8623.0
453,2:23:43,Takami OMINAMI,1975-11-15,JPN,1,Rotterdam (NED),2002-04-21,26,45,2002,8623.0
