Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age
262,2:06:07,Philip Sanga KIMUTAI,1983-09-10,KEN,4,Frankfurt (GER),2011-10-30,28,37
263,2:06:07,Ezekiel CHEBII,1991-01-03,KEN,5,Amsterdam (NED),2016-10-16,25,29
264,2:06:07,Nobert KIGEN,1993-01-24,KEN,4,Seoul (KOR),2017-03-19,24,27
265,2:06:07,Galen RUPP,1986-05-08,USA,1,Praha (CZE),2018-05-06,31,34
266,2:06:08,Haile GEBRSELASSIE,1973-04-18,ETH,1,Berlin (GER),2009-09-20,36,47
267,2:06:08,Vincent KIPRUTO,1987-09-13,KEN,3,"Chicago, IL (USA)",2009-10-11,22,33
268,2:06:08,Patrick Makau MUSYOKI,1985-03-02,KEN,1,Frankfurt (GER),2012-10-28,27,35
269,2:06:08,Bernard Kiprop KOECH,1988-01-31,KEN,2,Rotterdam (NED),2014-04-13,26,32
270,2:06:08,Mule WASIHUN,1993-10-20,ETH,5,London (GBR),2020-10-04,26,27
271,2:06:09,Haile GEBRSELASSIE,1973-04-18,ETH,1,Dubai (UAE),2010-01-22,36,47
272,2:06:09,Kelkile GEZAHEGN,1996-10-01,ETH,6,Dubai (UAE),2019-01-25,22,24
273,2:06:10,Tsegaye KEBEDE,1987-01-15,ETH,1,Fukuoka (JPN),2008-12-07,21,33
274,2:06:10,Kaan Kigen ÖZBILEN,1986-01-15,KEN,3,Seoul (KOR),2016-03-20,30,34
275,2:06:10,Paul LONYANGATA,1992-12-12,KEN,1,Paris (FRA),2017-04-09,24,27
276,2:06:11,Franklin CHEPKWONY,1984-06-15,KEN,2,Eindhoven (NED),2012-10-14,28,36
277,2:06:11,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Seoul (KOR),2015-03-15,26,32
278,2:06:11,Marius KIPSEREM,1988-05-17,KEN,1,Rotterdam (NED),2016-04-10,27,32
279,2:06:11,Yuta SHITARA,1991-12-18,JPN,2,Tokyo (JPN),2018-02-25,26,28
280,2:06:12,Wilson Kwambai CHEBET,1985-07-12,KEN,2,Amsterdam (NED),2010-10-17,25,35
281,2:06:12,Geoffrey KAMWOROR,1992-11-28,KEN,3,Berlin (GER),2012-09-30,19,28
282,2:06:12,Mosinet GEREMEW,1992-02-12,ETH,3,Berlin (GER),2017-09-24,25,28
283,2:06:12,Elisha ROTICH,1990-04-12,KEN,2,Seoul (KOR),2019-03-17,28,30
284,2:06:12,Ashenafi MOGES,1994-01-01,ETH,6,Valencia (ESP),2019-12-01,25,26
285,2:06:13,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Otsu (JPN),2011-03-06,28,38
286,2:06:13,Wesley KORIR,1982-11-15,KEN,5,"Chicago, IL (USA)",2012-10-07,29,38
287,2:06:13,John Nzau MWANGANGI,1990-01-11,KEN,1,Valencia (ESP),2015-11-15,25,30
288,2:06:13,Felix Kipchirchir KANDIE,1987-04-10,KEN,4,Berlin (GER),2017-09-24,30,33
289,2:06:13,Festus TALAM,1994-10-20,KEN,1,Eindhoven (NED),2017-10-08,22,26
290,2:06:13,Felix KIRWA,1995-10-08,KEN,2,Eindhoven (NED),2017-10-08,22,25
291,2:06:13,Deme Tadu ABATE,1997-09-11,ETH,6,Amsterdam (NED),2019-10-20,22,23
292,2:06:14,Felix LIMO,1980-08-22,KEN,1,Rotterdam (NED),2004-04-04,23,40
293,2:06:14,Patrick Makau MUSYOKI,1985-03-02,KEN,4,Rotterdam (NED),2009-04-05,24,35
294,2:06:14,Gilbert Kipruto KIRWA,1985-12-20,KEN,1,Frankfurt (GER),2009-10-25,23,34
295,2:06:14,Vincent KIPRUTO,1987-09-13,KEN,5,Berlin (GER),2017-09-24,30,33
296,2:06:14,Bashir ABDI,1989-02-10,BEL,5,"Chicago, IL (USA)",2019-10-13,30,31
297,2:06:15,Titus MUNJI,1979-12-20,KEN,3,Berlin (GER),2003-09-28,23,40
298,2:06:15,Emmanuel MUTAI,1984-10-12,KEN,4,London (GBR),2008-04-13,23,36
299,2:06:15,Bazu WORKU HAYLA,1990-09-15,ETH,2,Paris (FRA),2009-04-05,18,30
300,2:06:15,Wesley KORIR,1982-11-15,KEN,2,"Chicago, IL (USA)",2011-10-09,28,38
301,2:06:15,Vincent KIPRUTO,1987-09-13,KEN,1,Frankfurt (GER),2013-10-27,26,33
302,2:06:15,Gideon Kipkemoi KIPKETER,1992-11-10,KEN,4,Amsterdam (NED),2018-10-21,25,28
303,2:06:15,Olika ADUGNA,1999-09-12,ETH,1,Dubai (UAE),2020-01-24,20,21
304,2:06:15,Bedan KAROKI,1990-08-21,KEN,5,Tokyo (JPN),2020-03-01,29,30
305,2:06:16,Moses TANUI,1965-08-20,KEN,2,"Chicago, IL (USA)",1999-10-24,34,55
306,2:06:16,Daniel NJENGA,1976-05-07,KEN,2,"Chicago, IL (USA)",2002-10-13,26,44
307,2:06:16,Toshinari TAKAOKA,1970-09-24,JPN,3,"Chicago, IL (USA)",2002-10-13,32,50
308,2:06:16,Evans RUTTO,1978-04-08,KEN,1,"Chicago, IL (USA)",2004-10-10,26,42
309,2:06:16,Mark Kosgei KIPTOO,1976-06-21,KEN,2,Frankfurt (GER),2013-10-27,37,44
310,2:06:16,Sondre Nordstad MOEN,1991-01-12,NOR,7,Valencia (ESP),2019-12-01,28,29
311,2:06:17,Ryan HALL,1982-10-14,USA,5,London (GBR),2008-04-13,25,38
312,2:06:17,Seboka Dibaba TOLA,1987-11-10,ETH,9,Dubai (UAE),2012-01-27,24,33
313,2:06:17,Eric NDIEMA,1992-12-28,KEN,3,Eindhoven (NED),2012-10-14,19,27
314,2:06:17,Tamirat TOLA,1991-08-11,ETH,4,Dubai (UAE),2014-01-24,22,29
315,2:06:17,Yacob JARSO,1988-02-05,ETH,1,Seoul (KOR),2014-03-16,26,32
316,2:06:17,Abdi NAGEEYE,1989-03-02,NED,4,Rotterdam (NED),2019-04-07,30,31
317,2:06:17,Eric KIPTANUI,1990-04-19,KEN,2,Dubai (UAE),2020-01-24,29,30
318,2:06:18,Paul TERGAT,1969-06-17,KEN,4,"Chicago, IL (USA)",2002-10-13,33,51
319,2:06:18,Evans RUTTO,1978-04-08,KEN,1,London (GBR),2004-04-18,26,42
320,2:06:18,Gilbert YEGON,1988-08-06,KEN,1,Amsterdam (NED),2009-10-18,21,32
321,2:06:18,Dawit WOLDE,1991-05-19,ETH,2,Praha (CZE),2019-05-05,27,29
322,2:06:18,Tsedat Abeje AYANA,1996-02-18,ETH,3,Dubai (UAE),2020-01-24,23,24
323,2:06:18,Tesfaye Lencho ANBESA,1997-01-01,ETH,4,Dubai (UAE),2020-01-24,23,23
324,2:06:19,Moses MOSOP,1985-07-07,KEN,1,Xiamen (CHN),2015-01-03,29,35
325,2:06:19,Bernard Kiprop KIPYEGO,1986-07-16,KEN,1,Amsterdam (NED),2015-10-18,29,34
326,2:06:20,Haile GEBRSELASSIE,1973-04-18,ETH,1,Amsterdam (NED),2005-10-16,32,47
327,2:06:21,Tilahun REGASSA,1990-01-18,ETH,1,Eindhoven (NED),2014-10-12,24,30
328,2:06:21,Lawrence CHERONO,1988-08-07,KEN,2,Rotterdam (NED),2017-04-09,28,32
329,2:06:21,Mo FARAH,1983-03-23,GBR,3,London (GBR),2018-04-22,35,37
330,2:06:21,Galen RUPP,1986-05-08,USA,5,"Chicago, IL (USA)",2018-10-07,32,34
331,2:06:21,Sammy KITWARA,1986-11-26,KEN,7,Valencia (ESP),2018-12-02,32,34
332,2:06:21,Shifera TAMRU,1998-10-01,ETH,2,Daegu (KOR),2019-04-07,20,22
333,2:06:21,Joel Kemboi KIMURER,1988-01-21,KEN,2,Abu Dhabi (UAE),2019-12-06,31,32
334,2:06:21,Yitayal Atnafu ZERIHUN,1993-01-20,ETH,5,Dubai (UAE),2020-01-24,27,27
336,2:06:22,Bernard Kiprop KIPYEGO,1986-07-16,KEN,1,Amsterdam (NED),2014-10-19,28,34
337,2:06:22,Soloman DEKSISA,1994-03-11,ETH,2,Rotterdam (NED),2016-04-10,22,26
338,2:06:22,Mike KIPTUM,1992-09-14,KEN,3,Seoul (KOR),2019-03-17,26,28
339,2:06:22,Stephen CHEMLANY,1982-08-09,KEN,3,Lisboa (POR),2019-10-20,37,38
340,2:06:22,Yihunilign ADANE,1996-02-29,ETH,6,Dubai (UAE),2020-01-24,23,24
341,2:06:22,El Hassan EL ABBASSI,1984-04-13,BRN,6,Tokyo (JPN),2020-03-01,35,36
342,2:06:23,Robert CHEBOROR,1978-09-09,KEN,1,Amsterdam (NED),2004-10-17,26,42
343,2:06:23,Robert Kiprono CHERUIYOT,1988-08-10,KEN,2,Frankfurt (GER),2009-10-25,21,32
344,2:06:23,Emmanuel MUTAI,1984-10-12,KEN,2,London (GBR),2010-04-25,25,36
345,2:06:23,Gebretsadik ABRAHA,1992-07-16,ETH,3,Amsterdam (NED),2012-10-21,20,28
346,2:06:23,Amos KIPRUTO,1992-09-16,KEN,2,Berlin (GER),2018-09-16,26,28
347,2:06:23,Aychew BANTIE,1995-09-12,ETH,3,Praha (CZE),2019-05-05,23,25
348,2:06:23,Aychew BANTIE,1995-09-12,ETH,7,Dubai (UAE),2020-01-24,24,25
349,2:06:23,Asefa MENGSTU,1988-01-22,ETH,7,Tokyo (JPN),2020-03-01,32,32
350,2:06:24,Samuel Kamau WANJIRU,1986-11-10,KEN,1,"Chicago, IL (USA)",2010-10-10,23,34
351,2:06:24,Raji ASSEFA,1986-02-18,ETH,2,Paris (FRA),2012-04-15,26,34
352,2:06:24,Stephen CHEMLANY,1982-08-09,KEN,2,Seoul (KOR),2014-03-16,31,38
353,2:06:24,Kaan Kigen ÖZBILEN,1986-01-15,TUR,5,Amsterdam (NED),2018-10-21,32,34
354,2:06:24,Solomon Kirwa YEGO,1987-05-10,KEN,8,Valencia (ESP),2018-12-02,31,33
355,2:06:24,Morris Munene GACHAGA,1995-04-07,KEN,7,Amsterdam (NED),2019-10-20,24,25
356,2:06:24,Regasa BEJIGA,1980-01-01,ETH,3,Sevilla (ESP),2020-02-23,40,40
357,2:06:25,Evans Kiprop CHERUIYOT,1982-05-10,KEN,1,"Chicago, IL (USA)",2008-10-12,26,38
358,2:06:25,Deressa CHIMSA,1976-11-21,ETH,1,Praha (CZE),2012-05-13,35,44
359,2:06:25,James Kipsang KWAMBAI,1983-02-28,KEN,1,Seoul (KOR),2013-11-03,30,37
360,2:06:25,Felix Kipchirchir KANDIE,1987-04-10,KEN,6,Amsterdam (NED),2016-10-16,29,33
361,2:06:25,Dickson CHUMBA,1986-10-27,KEN,3,Tokyo (JPN),2017-02-26,30,34
362,2:06:25,Laban Kipngetich KORIR,1985-06-30,KEN,3,Rotterdam (NED),2017-04-09,31,35
363,2:06:25,Paul LONYANGATA,1992-12-12,KEN,1,Paris (FRA),2018-04-08,25,27
364,2:06:25,Chele DECHASA,1984-06-13,ETH,3,Seoul (KOR),2019-11-03,35,36
365,2:06:26,David Kemboi KIYENG,1983-04-22,KEN,3,Paris (FRA),2009-04-05,25,37
366,2:06:26,Feysa BEKELE,1983-08-04,ETH,4,Amsterdam (NED),2012-10-21,29,37
367,2:06:26,Geoffrey KAMWOROR,1992-11-28,KEN,3,Berlin (GER),2013-09-29,20,28
368,2:06:26,Sisay LEMMA,1990-12-12,ETH,1,Frankfurt (GER),2015-10-25,24,29
369,2:06:26,Festus TALAM,1994-10-20,KEN,1,Eindhoven (NED),2016-10-09,21,26
370,2:06:26,Geoffrey KAMWOROR,1992-11-28,KEN,3,"New York, NY (USA)",2018-11-04,25,28
371,2:06:26,Seifu TURA,1997-06-19,ETH,8,Dubai (UAE),2020-01-24,22,23
372,2:06:27,Sisay JISA,1982-12-29,ETH,3,Paris (FRA),2012-04-15,29,37
373,2:06:27,Geoffrey KIRUI,1993-02-16,KEN,7,Amsterdam (NED),2016-10-16,23,27
374,2:06:27,Wilson Loyanae ERUPE,1988-11-20,KEN,5,Seoul (KOR),2017-03-19,28,32
376,2:06:27,Tesfa WOKNETH,1984-09-30,ETH,4,Sevilla (ESP),2020-02-23,35,36
377,2:06:28,Nathaniel KIPKOSGEI,1984-09-01,KEN,2,Eindhoven (NED),2011-10-09,27,36
378,2:06:28,Emmanuel MUTAI,1984-10-12,KEN,2,"New York, NY (USA)",2011-11-06,27,36
379,2:06:29,Emmanuel MUTAI,1984-10-12,KEN,1,Amsterdam (NED),2007-10-21,23,36
380,2:06:29,Bernard Kiprop KIPYEGO,1986-07-16,KEN,3,"Chicago, IL (USA)",2011-10-09,25,34
381,2:06:29,Robert Kiprono CHERUIYOT,1988-08-10,KEN,5,Frankfurt (GER),2011-10-30,23,32
382,2:06:29,Yemane TSEGAY,1985-04-08,ETH,10,Dubai (UAE),2012-01-27,26,35
383,2:06:29,Bernard Kiprop KOECH,1988-01-31,KEN,3,Amsterdam (NED),2013-10-20,25,32
384,2:06:29,Abraham KIPTUM,1989-09-15,KEN,1,Daegu (KOR),2018-04-01,28,31
386,2:06:30,Yemane TSEGAY,1985-04-08,ETH,4,Paris (FRA),2009-04-05,23,35
387,2:06:30,Sammy KITWARA,1986-11-26,KEN,3,Tokyo (JPN),2014-02-23,27,34
388,2:06:30,Tsegaye KEBEDE,1987-01-15,ETH,3,London (GBR),2014-04-13,27,33
389,2:06:31,Tadesse TOLA,1987-10-31,ETH,2,Frankfurt (GER),2010-10-31,23,33
390,2:06:31,Benjamin KIPTOO,1979-01-10,KEN,1,Paris (FRA),2011-04-10,32,41
391,2:06:31,Peter Cheruiyot KIRUI,1988-01-02,KEN,6,Frankfurt (GER),2011-10-30,23,32
392,2:06:31,Ayele ABSHERO,1990-12-28,ETH,4,London (GBR),2014-04-13,23,29
393,2:06:31,Daniel KEMBOI,1986-01-01,KEN,8,Amsterdam (NED),2019-10-20,33,34
395,2:06:32,Samuel Kamau WANJIRU,1986-11-10,KEN,1,"National Stadium, Beijing (CHN)",2008-08-24,21,34
396,2:06:32,Adugna TAKELE,1989-02-26,ETH,7,Dubai (UAE),2019-01-25,29,31
397,2:06:32,Hicham LAQOUAHI,1989-06-13,MAR,1,Marrakesh (MAR),2020-01-26,30,31
398,2:06:33,Gert THYS,1971-11-12,RSA,1,Tokyo (JPN),1999-02-14,27,49
399,2:06:33,Michael Kosgei ROTICH,1982-10-29,KEN,1,Paris (FRA),2003-04-06,20,38
400,2:06:33,Chele DECHASA,1984-06-13,ETH,2,Dubai (UAE),2010-01-22,25,36
401,2:06:33,Nicholas KIPKEMBOI,1986-07-05,KEN,6,Dubai (UAE),2013-01-25,26,34
402,2:06:33,Tadesse TOLA,1987-10-31,ETH,2,Paris (FRA),2013-04-07,25,33
403,2:06:33,Emmanuel MUTAI,1984-10-12,KEN,2,London (GBR),2013-04-21,28,36
404,2:06:33,Stephen KIPROTICH,1989-02-27,UGA,2,Tokyo (JPN),2015-02-22,25,31
405,2:06:33,Mathew Kipkoech KISORIO,1989-05-16,KEN,2,Valencia (ESP),2015-11-15,26,31
406,2:06:33,Amos KIPRUTO,1992-09-16,KEN,3,Tokyo (JPN),2018-02-25,25,28
407,2:06:33,Laban Kipngetich KORIR,1985-06-30,KEN,6,Amsterdam (NED),2018-10-21,33,35
408,2:06:33,Barnabas KIPTUM,1986-12-08,KEN,4,Lisboa (POR),2019-10-20,32,34
409,2:06:34,Marilson GOMES DOS SANTOS,1977-08-06,BRA,4,London (GBR),2011-04-17,33,43
410,2:06:34,Nicholas Manza KAMAKYA,1985-03-02,KEN,4,Amsterdam (NED),2011-10-16,26,35
411,2:06:34,Eric NDIEMA,1992-12-28,KEN,3,Paris (FRA),2013-04-07,20,27
412,2:06:34,Dickson CHUMBA,1986-10-27,KEN,3,Tokyo (JPN),2015-02-22,28,34
413,2:06:34,Lani RUTTO,1989-03-29,KEN,2,Frankfurt (GER),2015-10-25,26,31
414,2:06:34,Soloman DEKSISA,1994-03-11,ETH,1,Hamburg (GER),2018-04-29,24,26
416,2:06:35,Haile GEBRSELASSIE,1973-04-18,ETH,3,London (GBR),2002-04-14,28,47
417,2:06:35,Stephen TUM,1986-07-12,KEN,1,Marrakesh (MAR),2013-01-27,26,34
418,2:06:35,Feyisa LILESA,1990-02-01,ETH,4,Dubai (UAE),2015-01-23,24,30
419,2:06:35,Evans KORIR,1987-07-10,KEN,2,Daegu (KOR),2018-04-01,30,33
420,2:06:35,Ayad LAMDASSEM,1981-10-11,ESP,12,Valencia (ESP),2020-12-06,39,39
421,2:06:36,António PINTO,1966-03-22,POR,1,London (GBR),2000-04-16,34,54
422,2:06:36,Benoit ZWIERZCHLEWSKI,1976-08-19,FRA,2,Paris (FRA),2003-04-06,26,44
423,2:06:36,Kenenisa BEKELE,1982-06-13,ETH,3,London (GBR),2016-04-24,33,38
424,2:06:36,Mathew Kipkoech KISORIO,1989-05-16,KEN,2,Paris (FRA),2018-04-08,28,31
425,2:06:36,Tsedat Abeje AYANA,1996-02-18,ETH,1,Sevilla (ESP),2019-02-17,22,24
426,2:06:37,Eric NDIEMA,1992-12-28,KEN,4,Paris (FRA),2012-04-15,19,27
427,2:06:37,Kelkile GEZAHEGN,1996-10-01,ETH,1,Frankfurt (GER),2018-10-28,22,24
428,2:06:38,Sammy Kipchoge KORIR,1971-12-12,KEN,1,Rotterdam (NED),2006-04-09,34,48
429,2:06:38,Deriba Merga EJIGU,1980-10-26,ETH,6,London (GBR),2008-04-13,27,40
430,2:06:38,Deribe ROBI,1990-09-26,ETH,3,Valencia (ESP),2017-11-19,27,30
431,2:06:39,William KIPSANG,1977-06-26,KEN,1,Amsterdam (NED),2003-10-19,26,43
432,2:06:39,Felix LIMO,1980-08-22,KEN,1,London (GBR),2006-04-23,25,40
433,2:06:39,Samuel Kamau WANJIRU,1986-11-10,KEN,1,Fukuoka (JPN),2007-12-02,21,34
434,2:06:39,Geoffrey KAMWOROR,1992-11-28,KEN,4,Berlin (GER),2014-09-28,21,28
435,2:06:39,Belay Asefa BEDADA,1992-06-17,ETH,2,Sevilla (ESP),2019-02-17,26,28
436,2:06:40,Tsegaye KEBEDE,1987-01-15,ETH,1,Paris (FRA),2008-04-06,21,33
437,2:06:40,Bernard Kiprop KIPYEGO,1986-07-16,KEN,6,"Chicago, IL (USA)",2012-10-07,26,34
438,2:06:40,Tadesse ABRAHAM,1982-08-12,SUI,4,Seoul (KOR),2016-03-20,33,38
439,2:06:40,Laban MUTAI,1988-01-15,KEN,1,Eindhoven (NED),2019-10-13,31,32
440,2:06:41,Martin Kiptolo LEL,1978-10-29,KEN,2,London (GBR),2006-04-23,27,42
441,2:06:41,Elijah KEITANY,1983-10-18,KEN,2,Amsterdam (NED),2009-10-18,26,37
442,2:06:41,Tadesse TOLA,1987-10-31,ETH,1,Paris (FRA),2010-04-11,22,33
443,2:06:41,Stanley Kipleting BIWOTT,1986-04-21,KEN,4,London (GBR),2015-04-26,29,34
444,2:06:41,Ernest NGENO,1995-05-20,KEN,3,Paris (FRA),2018-04-08,22,25
445,2:06:41,Martin KIPRUGUT KOSGEY,1989-03-21,KEN,2,Frankfurt (GER),2018-10-28,29,31
446,2:06:41,Berga BIRHANU BEKELE,1981-04-20,ETH,3,Sevilla (ESP),2019-02-17,37,39
447,2:06:41,Tamirat TOLA,1991-08-11,ETH,6,London (GBR),2020-10-04,29,29
448,2:06:42,Felix LIMO,1980-08-22,KEN,2,Amsterdam (NED),2003-10-19,23,40
449,2:06:42,Evans CHEBET,1988-11-10,KEN,4,Tokyo (JPN),2017-02-26,28,32
450,2:06:42,Benson KIPRUTO,1991-03-17,KEN,7,London (GBR),2020-10-04,29,29
451,2:06:43,Tsegaye KEBEDE,1987-01-15,ETH,2,"Chicago, IL (USA)",2010-10-10,23,33
452,2:06:43,Shumi DECHASA,1989-05-28,BRN,1,Hamburg (GER),2014-05-04,24,31
453,2:06:43,Marius KIPSEREM,1988-05-17,KEN,3,Eindhoven (NED),2017-10-08,29,32
454,2:06:43,Michael KUNYUGA,1987-07-27,KEN,5,Sevilla (ESP),2020-02-23,32,33
455,2:06:44,Josphat KIPRONO,1973-12-12,KEN,1,Berlin (GER),1999-09-26,25,46
456,2:06:44,Felix LIMO,1980-08-22,KEN,1,Berlin (GER),2004-09-26,24,40
457,2:06:44,Paul Kiprop KIRUI,1980-02-05,KEN,2,Rotterdam (NED),2006-04-09,26,40
458,2:06:44,Eliud KIPTANUI,1989-06-06,KEN,3,Seoul (KOR),2012-03-18,22,31
459,2:06:44,Gilbert Kipruto KIRWA,1985-12-20,KEN,3,Seoul (KOR),2014-03-16,28,34
460,2:06:44,Abera KUMA,1990-08-31,ETH,4,Valencia (ESP),2017-11-19,27,30
461,2:06:45,Richard LIMO,1980-11-18,KEN,2,Amsterdam (NED),2007-10-21,26,40
462,2:06:45,Getu FELEKE,1986-11-28,ETH,2,Rotterdam (NED),2013-04-14,26,34
463,2:06:45,Abayneh AYELE,1987-11-04,ETH,6,Dubai (UAE),2016-01-22,28,33
464,2:06:45,Bernard Kiprop KIPYEGO,1986-07-16,KEN,8,Amsterdam (NED),2016-10-16,30,34
465,2:06:45,Geoffrey KIRUI,1993-02-16,KEN,6,"Chicago, IL (USA)",2018-10-07,25,27
466,2:06:45,Jonathan KORIR,1986-11-20,KEN,4,Berlin (GER),2019-09-29,32,34
467,2:06:45,Ryu TAKAKU,1993-02-18,JPN,8,Tokyo (JPN),2020-03-01,27,27
468,2:06:46,Abdelkader EL MOUAZIZ,1969-01-01,MAR,5,"Chicago, IL (USA)",2002-10-13,33,51
469,2:06:46,Eshetu WENDIMU,1986-10-03,ETH,3,Dubai (UAE),2010-01-22,23,34
470,2:06:46,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Gongju (KOR),2012-10-21,23,32
471,2:06:46,Mule WASIHUN,1993-10-20,ETH,2,Dubai (UAE),2017-01-20,23,27
472,2:06:46,Okubay TSEGAY,1986-01-01,ERI,4,Sevilla (ESP),2019-02-17,33,34
473,2:06:46,Amos KIPRUTO,1992-09-16,KEN,4,Praha (CZE),2019-05-05,26,28
474,2:06:47,Fred KIPROP,1974-06-03,KEN,1,Amsterdam (NED),1999-10-17,25,46
475,2:06:47,Raymond Kipkoech CHEMWELO,1978-07-19,KEN,1,Berlin (GER),2002-09-29,24,42
476,2:06:47,Wilson ONSARE,1976-06-15,KEN,3,Paris (FRA),2003-04-06,26,44
477,2:06:47,Jonathan MAIYO,1988-05-05,KEN,2,Eindhoven (NED),2014-10-12,26,32
478,2:06:47,Abera KUMA,1990-08-31,ETH,1,Rotterdam (NED),2015-04-12,24,30
479,2:06:47,Gideon Kipkemoi KIPKETER,1992-11-10,KEN,4,Tokyo (JPN),2018-02-25,25,28
480,2:06:47,Deme Tadu ABATE,1997-09-11,ETH,7,Amsterdam (NED),2018-10-21,21,23
481,2:06:47,Bazu WORKU HAYLA,1990-09-15,ETH,6,Sevilla (ESP),2020-02-23,29,30
482,2:06:47,Felix Kipchirchir KANDIE,1987-04-10,KEN,13,Valencia (ESP),2020-12-06,33,33
483,2:06:48,Driss EL HIMER,1974-04-04,FRA,4,Paris (FRA),2003-04-06,29,46
484,2:06:48,Sammy Kipchoge KORIR,1971-12-12,KEN,2,London (GBR),2004-04-18,32,48
485,2:06:48,Rachid KISRI,1975-03-01,MAR,5,Paris (FRA),2009-04-05,34,45
486,2:06:48,Michael KIPYEGO,1983-10-02,KEN,3,Eindhoven (NED),2011-10-09,28,37
487,2:06:48,Abraham GIRMA,1986-09-21,ETH,5,Amsterdam (NED),2012-10-21,26,34
488,2:06:48,Alfers LAGAT,1986-08-07,KEN,3,Frankfurt (GER),2015-10-25,29,34
489,2:06:48,Mark KORIR,1985-01-10,KEN,1,Frankfurt (GER),2016-10-30,31,35
490,2:06:48,Wilson Kipsang KIPROTICH,1982-03-15,KEN,3,Berlin (GER),2018-09-16,36,38
491,2:06:48,Bedan KAROKI,1990-08-21,KEN,2,Tokyo (JPN),2019-03-03,28,30
492,2:06:49,Tesfaye JIFAR,1976-04-23,ETH,2,Amsterdam (NED),1999-10-17,23,44
493,2:06:49,Simon BIWOTT,1972-03-03,KEN,2,Berlin (GER),2002-09-29,30,48
494,2:06:49,Joseph RIRI,1973-01-01,KEN,2,Berlin (GER),2004-09-26,31,47
495,2:06:49,Sylvester Kimeli TEIMET,1984-06-04,KEN,1,Seoul (KOR),2010-03-21,25,36
496,2:06:49,Limenih GETACHEW,1990-04-30,ETH,2,Paris (FRA),2014-04-06,23,30
497,2:06:49,Mark Kosgei KIPTOO,1976-06-21,KEN,1,Frankfurt (GER),2014-10-26,38,44
498,2:06:49,Peter Kimeli SOME,1990-06-05,KEN,3,Daegu (KOR),2018-04-01,27,30
499,2:06:49,Daniel KIBET,1996-05-17,KEN,5,Sevilla (ESP),2019-02-17,22,24
500,2:06:49,Abebe Negewo DEGEFA,1984-05-20,ETH,2,Barcelona (ESP),2019-03-10,34,36
501,2:06:49,Eliud KIPCHOGE,1984-11-05,KEN,8,London (GBR),2020-10-04,35,36
502,2:06:50,Belayneh DINSAMO,1965-06-28,ETH,1,Rotterdam (NED),1988-04-17,22,55
503,2:06:50,William KIPLAGAT,1972-06-21,KEN,3,Amsterdam (NED),1999-10-17,27,48
504,2:06:50,Josphat KIPRONO,1973-12-12,KEN,1,Rotterdam (NED),2001-04-22,27,46
505,2:06:50,Deriba Merga EJIGU,1980-10-26,ETH,2,Fukuoka (JPN),2007-12-02,27,40
506,2:06:50,Moses Kimeli ARUSEI,1983-01-01,KEN,2,Paris (FRA),2008-04-06,25,37
507,2:06:50,Dennis KIMETTO,1984-04-22,KEN,1,Tokyo (JPN),2013-02-24,28,36
508,2:06:50,Tsegaye GETACHEW,1996-11-30,ETH,8,Valencia (ESP),2019-12-01,23,24
509,2:06:51,Atsushi FUJITA,1976-11-06,JPN,1,Fukuoka (JPN),2000-12-03,24,44
510,2:06:51,Abel KIRUI,1982-06-04,KEN,2,Berlin (GER),2007-09-30,25,38
511,2:06:51,Tariku JUFAR,1984-07-18,ETH,1,"Houston, TX (USA)",2012-01-15,27,36
512,2:06:51,Philip Sanga KIMUTAI,1983-09-10,KEN,4,Seoul (KOR),2012-03-18,28,37
513,2:06:51,Martin Kiptolo LEL,1978-10-29,KEN,2,London (GBR),2012-04-22,33,42
514,2:06:51,Yemane TSEGAY,1985-04-08,ETH,1,Daegu (KOR),2014-04-06,28,35
515,2:06:51,Franklin CHEPKWONY,1984-06-15,KEN,5,Seoul (KOR),2016-03-20,31,36
516,2:06:51,Jonathan KORIR,1986-11-20,KEN,8,Amsterdam (NED),2018-10-21,31,34
517,2:06:52,Abdelkader EL MOUAZIZ,1969-01-01,MAR,4,London (GBR),2002-04-14,33,51
518,2:06:52,Vincent KIPSOS,1976-06-22,KEN,3,Berlin (GER),2002-09-29,26,44
519,2:06:52,Charles Kibiwott SERONEI,1974-08-08,KEN,3,Rotterdam (NED),2006-04-09,31,46
520,2:06:52,Julio REY,1972-01-13,ESP,1,Hamburg (GER),2006-04-23,34,48
521,2:06:52,Haile GEBRSELASSIE,1973-04-18,ETH,1,Fukuoka (JPN),2006-12-03,33,47
522,2:06:52,Tsegaye KEBEDE,1987-01-15,ETH,3,London (GBR),2012-04-22,25,33
523,2:06:52,Deressa CHIMSA,1976-11-21,ETH,2,Frankfurt (GER),2012-10-28,35,44
524,2:06:52,Philemon RONO,1991-02-08,KEN,1,Toronto (CAN),2017-10-22,26,29
525,2:06:52,Daniel KIBET,1996-05-17,KEN,3,Buenos Aires (ARG),2019-09-22,23,24
526,2:06:52,Birhan NEBEBEW,1994-08-14,ETH,5,Lisboa (POR),2019-10-20,25,26
527,2:06:53,David Mandago KIPKORIR,1974-12-15,KEN,6,Paris (FRA),2009-04-05,34,45
