Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,Temp,TimeSec
214,2:05:50,Shura KITATA,1996-06-09,ETH,1,Frankfurt (GER),2017-10-29,21,24,2017,10.8,7550.0
215,2:05:50,Abera KUMA,1990-08-31,ETH,2,Rotterdam (NED),2018-04-08,27,30,2018,13.7,7550.0
216,2:05:50,Suguru OSAKO,1991-05-23,JPN,3,"Chicago, IL (USA)",2018-10-07,27,29,2018,15.4,7550.0
217,2:05:51,Kenenisa BEKELE,1982-06-13,ETH,4,"Chicago, IL (USA)",2014-10-12,32,38,2014,12.9,7551.0
218,2:05:51,Gideon Kipkemoi KIPKETER,1992-11-10,KEN,2,Tokyo (JPN),2017-02-26,24,28,2017,8.3,7551.0
219,2:05:52,Lelisa DESISA,1990-01-14,ETH,2,Dubai (UAE),2015-01-23,25,30,2015,18.8,7552.0
220,2:05:52,Stephen CHEBOGUT,1985-01-09,KEN,1,Eindhoven (NED),2015-10-11,30,35,2015,7.7,7552.0
221,2:05:53,Wilson Kwambai CHEBET,1985-07-12,KEN,1,Amsterdam (NED),2011-10-16,26,35,2011,8.3,7553.0
222,2:05:53,Bedan KAROKI,1990-08-21,KEN,4,"Chicago, IL (USA)",2019-10-13,29,30,2019,8.8,7553.0
223,2:05:53,Oqbe Kibrom RUESOM,1998-01-01,ERI,11,Valencia (ESP),2020-12-06,22,22,2020,10.6,7553.0
224,2:05:54,Sammy KITWARA,1986-11-26,KEN,4,"Chicago, IL (USA)",2012-10-07,25,34,2012,7.2,7554.0
225,2:05:54,Laban Kipngetich KORIR,1985-06-30,KEN,4,Amsterdam (NED),2016-10-16,31,35,2016,13.4,7554.0
226,2:05:54,Amos KIPRUTO,1992-09-16,KEN,1,Seoul (KOR),2017-03-19,24,28,2017,9.2,7554.0
227,2:05:56,Khalid KHANNOUCHI,1971-12-22,USA,1,"Chicago, IL (USA)",2002-10-13,30,48,2002,8.0,7556.0
228,2:05:56,Haile GEBRSELASSIE,1973-04-18,ETH,1,Berlin (GER),2006-09-24,33,47,2006,20.1,7556.0
229,2:05:56,Abera KUMA,1990-08-31,ETH,3,Berlin (GER),2014-09-28,24,30,2014,13.7,7556.0
230,2:05:56,Kelkile GEZAHEGN,1996-10-01,ETH,3,Rotterdam (NED),2018-04-08,21,24,2018,13.7,7556.0
231,2:05:57,Tadesse TOLA,1987-10-31,ETH,2,Tokyo (JPN),2014-02-23,26,33,2014,5.5,7557.0
232,2:05:57,Kenenisa BEKELE,1982-06-13,ETH,2,London (GBR),2017-04-23,34,38,2017,11.7,7557.0
233,2:05:57,Kenneth Kiprop KIPKEMOI,1984-08-02,KEN,4,"Chicago, IL (USA)",2018-10-07,34,36,2018,15.4,7557.0
234,2:05:58,Shami Abdullah DAWIT,1984-07-16,ETH,1,Hamburg (GER),2012-04-29,27,36,2012,12.6,7558.0
235,2:05:58,Deribe ROBI,1990-09-26,ETH,2,Eindhoven (NED),2015-10-11,25,30,2015,7.7,7558.0
236,2:05:58,Laban Kipngetich KORIR,1985-06-30,KEN,4,Rotterdam (NED),2018-04-08,32,35,2018,13.7,7558.0
237,2:05:58,El Mahjoub DAZZA,1991-03-03,MAR,1,Praha (CZE),2019-05-05,28,29,2019,6.0,7558.0
238,2:05:59,Lelisa DESISA,1990-01-14,ETH,1,"New York, NY (USA)",2018-11-04,28,30,2018,11.0,7559.0
239,2:06:00,Endeshaw NEGESSE,1988-03-13,ETH,1,Tokyo (JPN),2015-02-22,26,32,2015,6.3,7560.0
240,2:06:00,Mark Kosgei KIPTOO,1976-06-21,KEN,3,Eindhoven (NED),2015-10-11,39,44,2015,7.7,7560.0
241,2:06:00,Thomas KIPLAGAT,1987-03-01,KEN,1,Seoul (KOR),2019-03-17,32,33,2019,6.4,7560.0
242,2:06:00,Andualem Belay SHIFERAW,1992-04-05,ETH,1,Lisboa (POR),2019-10-20,27,28,2019,15.1,7560.0
243,2:06:01,Shura KITATA,1996-06-09,ETH,2,"New York, NY (USA)",2018-11-04,22,24,2018,11.0,7561.0
244,2:06:02,Samuel NDUNGU,1988-04-04,KEN,2,Lisboa (POR),2019-10-20,31,32,2019,15.1,7562.0
245,2:06:02,Alemu BEKELE,1990-03-23,BRN,2,Seoul (KOR),2019-11-03,29,30,2019,14.7,7562.0
246,2:06:03,James Kipsang KWAMBAI,1983-02-28,KEN,2,Seoul (KOR),2012-03-18,29,37,2012,7.6,7563.0
247,2:06:03,Felix Kipchirchir KANDIE,1987-04-10,KEN,2,Seoul (KOR),2017-03-19,29,33,2017,9.2,7563.0
248,2:06:04,Abderrahim GOUMRI,1976-05-21,MAR,2,"Chicago, IL (USA)",2009-10-11,33,44,2009,2.9,7564.0
249,2:06:04,Tsegaye KEBEDE,1987-01-15,ETH,1,London (GBR),2013-04-21,26,33,2013,8.6,7564.0
250,2:06:04,Marius KIMUTAI,1992-12-10,BRN,1,Rotterdam (NED),2017-04-09,24,28,2017,12.4,7564.0
251,2:06:04,Alemu BEKELE,1990-03-23,BRN,1,Barcelona (ESP),2019-03-10,28,30,2019,13.8,7564.0
252,2:06:04,Fentahun HUNEGNAW,1996-01-01,ETH,5,Amsterdam (NED),2019-10-20,23,24,2019,11.2,7564.0
253,2:06:04,Mosinet GEREMEW,1992-02-12,ETH,4,London (GBR),2020-10-04,28,28,2020,10.2,7564.0
254,2:06:05,Ronaldo DA COSTA,1970-06-07,BRA,1,Berlin (GER),1998-09-20,28,50,1998,13.8,7565.0
255,2:06:05,Laban Kipngetich KORIR,1985-06-30,KEN,2,Amsterdam (NED),2011-10-16,26,35,2011,8.3,7565.0
256,2:06:05,Mariko KIPCHUMBA KIPLAGAT,1974-07-04,KEN,1,Reims (FRA),2012-10-21,38,46,2012,17.5,7565.0
257,2:06:05,Mark KORIR,1985-01-10,KEN,3,Seoul (KOR),2017-03-19,32,35,2017,9.2,7565.0
258,2:06:05,Philemon KACHERAN,1992-07-04,KEN,5,Valencia (ESP),2019-12-01,27,28,2019,15.9,7565.0
259,2:06:06,Girmay Birhanu GEBRU,1987-01-27,ETH,2,Amsterdam (NED),2013-10-20,26,33,2013,14.5,7566.0
260,2:06:06,Deribe ROBI,1990-09-26,ETH,3,Dubai (UAE),2015-01-23,24,30,2015,18.8,7566.0
261,2:06:07,Eric NDIEMA,1992-12-28,KEN,3,Amsterdam (NED),2011-10-16,18,27,2011,8.3,7567.0
262,2:06:07,Philip Sanga KIMUTAI,1983-09-10,KEN,4,Frankfurt (GER),2011-10-30,28,37,2011,11.9,7567.0
263,2:06:07,Ezekiel CHEBII,1991-01-03,KEN,5,Amsterdam (NED),2016-10-16,25,29,2016,13.4,7567.0
264,2:06:07,Nobert KIGEN,1993-01-24,KEN,4,Seoul (KOR),2017-03-19,24,27,2017,9.2,7567.0
265,2:06:07,Galen RUPP,1986-05-08,USA,1,Praha (CZE),2018-05-06,31,34,2018,15.0,7567.0
266,2:06:08,Haile GEBRSELASSIE,1973-04-18,ETH,1,Berlin (GER),2009-09-20,36,47,2009,17.7,7568.0
267,2:06:08,Vincent KIPRUTO,1987-09-13,KEN,3,"Chicago, IL (USA)",2009-10-11,22,33,2009,2.9,7568.0
268,2:06:08,Patrick Makau MUSYOKI,1985-03-02,KEN,1,Frankfurt (GER),2012-10-28,27,35,2012,1.6,7568.0
269,2:06:08,Bernard Kiprop KOECH,1988-01-31,KEN,2,Rotterdam (NED),2014-04-13,26,32,2014,10.2,7568.0
270,2:06:08,Mule WASIHUN,1993-10-20,ETH,5,London (GBR),2020-10-04,26,27,2020,10.2,7568.0
271,2:06:09,Haile GEBRSELASSIE,1973-04-18,ETH,1,Dubai (UAE),2010-01-22,36,47,2010,22.2,7569.0
272,2:06:09,Kelkile GEZAHEGN,1996-10-01,ETH,6,Dubai (UAE),2019-01-25,22,24,2019,21.9,7569.0
273,2:06:10,Tsegaye KEBEDE,1987-01-15,ETH,1,Fukuoka (JPN),2008-12-07,21,33,2008,3.8,7570.0
274,2:06:10,Kaan Kigen ÖZBILEN,1986-01-15,KEN,3,Seoul (KOR),2016-03-20,30,34,2016,9.4,7570.0
275,2:06:10,Paul LONYANGATA,1992-12-12,KEN,1,Paris (FRA),2017-04-09,24,28,2017,17.6,7570.0
276,2:06:11,Franklin CHEPKWONY,1984-06-15,KEN,2,Eindhoven (NED),2012-10-14,28,36,2012,7.6,7571.0
277,2:06:11,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Seoul (KOR),2015-03-15,26,32,2015,4.3,7571.0
278,2:06:11,Marius KIPSEREM,1988-05-17,KEN,1,Rotterdam (NED),2016-04-10,27,32,2016,10.1,7571.0
279,2:06:11,Yuta SHITARA,1991-12-18,JPN,2,Tokyo (JPN),2018-02-25,26,28,2018,5.7,7571.0
280,2:06:12,Wilson Kwambai CHEBET,1985-07-12,KEN,2,Amsterdam (NED),2010-10-17,25,35,2010,5.9,7572.0
281,2:06:12,Geoffrey KAMWOROR,1992-11-28,KEN,3,Berlin (GER),2012-09-30,19,28,2012,11.5,7572.0
282,2:06:12,Mosinet GEREMEW,1992-02-12,ETH,3,Berlin (GER),2017-09-24,25,28,2017,14.7,7572.0
283,2:06:12,Elisha ROTICH,1990-04-12,KEN,2,Seoul (KOR),2019-03-17,28,30,2019,6.4,7572.0
284,2:06:12,Ashenafi MOGES,1994-01-01,ETH,6,Valencia (ESP),2019-12-01,25,26,2019,15.9,7572.0
285,2:06:13,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Otsu (JPN),2011-03-06,28,38,2011,,7573.0
286,2:06:13,Wesley KORIR,1982-11-15,KEN,5,"Chicago, IL (USA)",2012-10-07,29,38,2012,7.2,7573.0
287,2:06:13,John Nzau MWANGANGI,1990-01-11,KEN,1,Valencia (ESP),2015-11-15,25,30,2015,13.5,7573.0
288,2:06:13,Felix Kipchirchir KANDIE,1987-04-10,KEN,4,Berlin (GER),2017-09-24,30,33,2017,14.7,7573.0
289,2:06:13,Festus TALAM,1994-10-20,KEN,1,Eindhoven (NED),2017-10-08,22,26,2017,12.3,7573.0
290,2:06:13,Felix KIRWA,1995-10-08,KEN,2,Eindhoven (NED),2017-10-08,22,25,2017,12.3,7573.0
291,2:06:13,Deme Tadu ABATE,1997-09-11,ETH,6,Amsterdam (NED),2019-10-20,22,23,2019,11.2,7573.0
292,2:06:14,Felix LIMO,1980-08-22,KEN,1,Rotterdam (NED),2004-04-04,23,40,2004,10.7,7574.0
293,2:06:14,Patrick Makau MUSYOKI,1985-03-02,KEN,4,Rotterdam (NED),2009-04-05,24,35,2009,9.6,7574.0
294,2:06:14,Gilbert Kipruto KIRWA,1985-12-20,KEN,1,Frankfurt (GER),2009-10-25,23,34,2009,12.9,7574.0
295,2:06:14,Vincent KIPRUTO,1987-09-13,KEN,5,Berlin (GER),2017-09-24,30,33,2017,14.7,7574.0
296,2:06:14,Bashir ABDI,1989-02-10,BEL,5,"Chicago, IL (USA)",2019-10-13,30,31,2019,8.8,7574.0
297,2:06:15,Titus MUNJI,1979-12-20,KEN,3,Berlin (GER),2003-09-28,23,40,2003,11.3,7575.0
298,2:06:15,Emmanuel MUTAI,1984-10-12,KEN,4,London (GBR),2008-04-13,23,36,2008,8.9,7575.0
299,2:06:15,Bazu WORKU HAYLA,1990-09-15,ETH,2,Paris (FRA),2009-04-05,18,30,2009,12.5,7575.0
300,2:06:15,Wesley KORIR,1982-11-15,KEN,2,"Chicago, IL (USA)",2011-10-09,28,38,2011,20.1,7575.0
301,2:06:15,Vincent KIPRUTO,1987-09-13,KEN,1,Frankfurt (GER),2013-10-27,26,33,2013,15.7,7575.0
302,2:06:15,Gideon Kipkemoi KIPKETER,1992-11-10,KEN,4,Amsterdam (NED),2018-10-21,25,28,2018,13.1,7575.0
303,2:06:15,Olika ADUGNA,1999-09-12,ETH,1,Dubai (UAE),2020-01-24,20,21,2020,20.6,7575.0
304,2:06:15,Bedan KAROKI,1990-08-21,KEN,5,Tokyo (JPN),2020-03-01,29,30,2020,11.8,7575.0
305,2:06:16,Moses TANUI,1965-08-20,KEN,2,"Chicago, IL (USA)",1999-10-24,34,55,1999,6.0,7576.0
306,2:06:16,Daniel NJENGA,1976-05-07,KEN,2,"Chicago, IL (USA)",2002-10-13,26,44,2002,8.0,7576.0
307,2:06:16,Toshinari TAKAOKA,1970-09-24,JPN,3,"Chicago, IL (USA)",2002-10-13,32,50,2002,8.0,7576.0
308,2:06:16,Evans RUTTO,1978-04-08,KEN,1,"Chicago, IL (USA)",2004-10-10,26,42,2004,12.7,7576.0
309,2:06:16,Mark Kosgei KIPTOO,1976-06-21,KEN,2,Frankfurt (GER),2013-10-27,37,44,2013,15.7,7576.0
310,2:06:16,Sondre Nordstad MOEN,1991-01-12,NOR,7,Valencia (ESP),2019-12-01,28,29,2019,15.9,7576.0
311,2:06:17,Ryan HALL,1982-10-14,USA,5,London (GBR),2008-04-13,25,38,2008,8.9,7577.0
312,2:06:17,Seboka Dibaba TOLA,1987-11-10,ETH,9,Dubai (UAE),2012-01-27,24,33,2012,17.7,7577.0
313,2:06:17,Eric NDIEMA,1992-12-28,KEN,3,Eindhoven (NED),2012-10-14,19,27,2012,7.6,7577.0
314,2:06:17,Tamirat TOLA,1991-08-11,ETH,4,Dubai (UAE),2014-01-24,22,29,2014,19.4,7577.0
315,2:06:17,Yacob JARSO,1988-02-05,ETH,1,Seoul (KOR),2014-03-16,26,32,2014,11.0,7577.0
316,2:06:17,Abdi NAGEEYE,1989-03-02,NED,4,Rotterdam (NED),2019-04-07,30,31,2019,13.3,7577.0
317,2:06:17,Eric KIPTANUI,1990-04-19,KEN,2,Dubai (UAE),2020-01-24,29,30,2020,20.6,7577.0
318,2:06:18,Paul TERGAT,1969-06-17,KEN,4,"Chicago, IL (USA)",2002-10-13,33,51,2002,8.0,7578.0
319,2:06:18,Evans RUTTO,1978-04-08,KEN,1,London (GBR),2004-04-18,26,42,2004,8.5,7578.0
320,2:06:18,Gilbert YEGON,1988-08-06,KEN,1,Amsterdam (NED),2009-10-18,21,32,2009,7.3,7578.0
321,2:06:18,Dawit WOLDE,1991-05-19,ETH,2,Praha (CZE),2019-05-05,27,29,2019,6.0,7578.0
322,2:06:18,Tsedat Abeje AYANA,1996-02-18,ETH,3,Dubai (UAE),2020-01-24,23,24,2020,20.6,7578.0
323,2:06:18,Tesfaye Lencho ANBESA,1997-01-01,ETH,4,Dubai (UAE),2020-01-24,23,23,2020,20.6,7578.0
324,2:06:19,Moses MOSOP,1985-07-07,KEN,1,Xiamen (CHN),2015-01-03,29,35,2015,16.0,7579.0
325,2:06:19,Bernard Kiprop KIPYEGO,1986-07-16,KEN,1,Amsterdam (NED),2015-10-18,29,34,2015,8.7,7579.0
326,2:06:20,Haile GEBRSELASSIE,1973-04-18,ETH,1,Amsterdam (NED),2005-10-16,32,47,2005,11.8,7580.0
327,2:06:21,Tilahun REGASSA,1990-01-18,ETH,1,Eindhoven (NED),2014-10-12,24,30,2014,12.4,7581.0
328,2:06:21,Lawrence CHERONO,1988-08-07,KEN,2,Rotterdam (NED),2017-04-09,28,32,2017,12.4,7581.0
329,2:06:21,Mo FARAH,1983-03-23,GBR,3,London (GBR),2018-04-22,35,37,2018,18.1,7581.0
330,2:06:21,Galen RUPP,1986-05-08,USA,5,"Chicago, IL (USA)",2018-10-07,32,34,2018,15.4,7581.0
331,2:06:21,Sammy KITWARA,1986-11-26,KEN,7,Valencia (ESP),2018-12-02,32,34,2018,13.5,7581.0
332,2:06:21,Shifera TAMRU,1998-10-01,ETH,2,Daegu (KOR),2019-04-07,20,22,2019,13.7,7581.0
333,2:06:21,Joel Kemboi KIMURER,1988-01-21,KEN,2,Abu Dhabi (UAE),2019-12-06,31,32,2019,23.3,7581.0
334,2:06:21,Yitayal Atnafu ZERIHUN,1993-01-20,ETH,5,Dubai (UAE),2020-01-24,27,27,2020,20.6,7581.0
336,2:06:22,Bernard Kiprop KIPYEGO,1986-07-16,KEN,1,Amsterdam (NED),2014-10-19,28,34,2014,17.3,7582.0
337,2:06:22,Soloman DEKSISA,1994-03-11,ETH,2,Rotterdam (NED),2016-04-10,22,26,2016,10.1,7582.0
338,2:06:22,Mike KIPTUM,1992-09-14,KEN,3,Seoul (KOR),2019-03-17,26,28,2019,6.4,7582.0
339,2:06:22,Stephen CHEMLANY,1982-08-09,KEN,3,Lisboa (POR),2019-10-20,37,38,2019,15.1,7582.0
340,2:06:22,Yihunilign ADANE,1996-02-29,ETH,6,Dubai (UAE),2020-01-24,23,24,2020,20.6,7582.0
341,2:06:22,El Hassan EL ABBASSI,1984-04-13,BRN,6,Tokyo (JPN),2020-03-01,35,36,2020,11.8,7582.0
342,2:06:23,Robert CHEBOROR,1978-09-09,KEN,1,Amsterdam (NED),2004-10-17,26,42,2004,8.8,7583.0
343,2:06:23,Robert Kiprono CHERUIYOT,1988-08-10,KEN,2,Frankfurt (GER),2009-10-25,21,32,2009,12.9,7583.0
344,2:06:23,Emmanuel MUTAI,1984-10-12,KEN,2,London (GBR),2010-04-25,25,36,2010,14.0,7583.0
345,2:06:23,Gebretsadik ABRAHA,1992-07-16,ETH,3,Amsterdam (NED),2012-10-21,20,28,2012,12.4,7583.0
346,2:06:23,Amos KIPRUTO,1992-09-16,KEN,2,Berlin (GER),2018-09-16,26,28,2018,17.4,7583.0
347,2:06:23,Aychew BANTIE,1995-09-12,ETH,3,Praha (CZE),2019-05-05,23,25,2019,6.0,7583.0
348,2:06:23,Aychew BANTIE,1995-09-12,ETH,7,Dubai (UAE),2020-01-24,24,25,2020,20.6,7583.0
349,2:06:23,Asefa MENGSTU,1988-01-22,ETH,7,Tokyo (JPN),2020-03-01,32,32,2020,11.8,7583.0
350,2:06:24,Samuel Kamau WANJIRU,1986-11-10,KEN,1,"Chicago, IL (USA)",2010-10-10,23,34,2010,22.1,7584.0
351,2:06:24,Raji ASSEFA,1986-02-18,ETH,2,Paris (FRA),2012-04-15,26,34,2012,7.5,7584.0
352,2:06:24,Stephen CHEMLANY,1982-08-09,KEN,2,Seoul (KOR),2014-03-16,31,38,2014,11.0,7584.0
353,2:06:24,Kaan Kigen ÖZBILEN,1986-01-15,TUR,5,Amsterdam (NED),2018-10-21,32,34,2018,13.1,7584.0
354,2:06:24,Solomon Kirwa YEGO,1987-05-10,KEN,8,Valencia (ESP),2018-12-02,31,33,2018,13.5,7584.0
355,2:06:24,Morris Munene GACHAGA,1995-04-07,KEN,7,Amsterdam (NED),2019-10-20,24,25,2019,11.2,7584.0
356,2:06:24,Regasa BEJIGA,1980-01-01,ETH,3,Sevilla (ESP),2020-02-23,40,40,2020,16.2,7584.0
357,2:06:25,Evans Kiprop CHERUIYOT,1982-05-10,KEN,1,"Chicago, IL (USA)",2008-10-12,26,38,2008,21.2,7585.0
358,2:06:25,Deressa CHIMSA,1976-11-21,ETH,1,Praha (CZE),2012-05-13,35,44,2012,8.1,7585.0
359,2:06:25,James Kipsang KWAMBAI,1983-02-28,KEN,1,Seoul (KOR),2013-11-03,30,37,2013,10.8,7585.0
360,2:06:25,Felix Kipchirchir KANDIE,1987-04-10,KEN,6,Amsterdam (NED),2016-10-16,29,33,2016,13.4,7585.0
361,2:06:25,Dickson CHUMBA,1986-10-27,KEN,3,Tokyo (JPN),2017-02-26,30,34,2017,8.3,7585.0
362,2:06:25,Laban Kipngetich KORIR,1985-06-30,KEN,3,Rotterdam (NED),2017-04-09,31,35,2017,12.4,7585.0
363,2:06:25,Paul LONYANGATA,1992-12-12,KEN,1,Paris (FRA),2018-04-08,25,28,2018,16.6,7585.0
364,2:06:25,Chele DECHASA,1984-06-13,ETH,3,Seoul (KOR),2019-11-03,35,36,2019,14.7,7585.0
365,2:06:26,David Kemboi KIYENG,1983-04-22,KEN,3,Paris (FRA),2009-04-05,25,37,2009,12.5,7586.0
366,2:06:26,Feysa BEKELE,1983-08-04,ETH,4,Amsterdam (NED),2012-10-21,29,37,2012,12.4,7586.0
367,2:06:26,Geoffrey KAMWOROR,1992-11-28,KEN,3,Berlin (GER),2013-09-29,20,28,2013,9.2,7586.0
368,2:06:26,Sisay LEMMA,1990-12-12,ETH,1,Frankfurt (GER),2015-10-25,24,30,2015,10.2,7586.0
369,2:06:26,Festus TALAM,1994-10-20,KEN,1,Eindhoven (NED),2016-10-09,21,26,2016,8.9,7586.0
370,2:06:26,Geoffrey KAMWOROR,1992-11-28,KEN,3,"New York, NY (USA)",2018-11-04,25,28,2018,11.0,7586.0
371,2:06:26,Seifu TURA,1997-06-19,ETH,8,Dubai (UAE),2020-01-24,22,23,2020,20.6,7586.0
372,2:06:27,Sisay JISA,1982-12-29,ETH,3,Paris (FRA),2012-04-15,29,37,2012,7.5,7587.0
373,2:06:27,Geoffrey KIRUI,1993-02-16,KEN,7,Amsterdam (NED),2016-10-16,23,27,2016,13.4,7587.0
374,2:06:27,Wilson Loyanae ERUPE,1988-11-20,KEN,5,Seoul (KOR),2017-03-19,28,32,2017,9.2,7587.0
376,2:06:27,Tesfa WOKNETH,1984-09-30,ETH,4,Sevilla (ESP),2020-02-23,35,36,2020,16.2,7587.0
377,2:06:28,Nathaniel KIPKOSGEI,1984-09-01,KEN,2,Eindhoven (NED),2011-10-09,27,36,2011,10.3,7588.0
378,2:06:28,Emmanuel MUTAI,1984-10-12,KEN,2,"New York, NY (USA)",2011-11-06,27,36,2011,8.0,7588.0
379,2:06:29,Emmanuel MUTAI,1984-10-12,KEN,1,Amsterdam (NED),2007-10-21,23,36,2007,9.5,7589.0
380,2:06:29,Bernard Kiprop KIPYEGO,1986-07-16,KEN,3,"Chicago, IL (USA)",2011-10-09,25,34,2011,20.1,7589.0
381,2:06:29,Robert Kiprono CHERUIYOT,1988-08-10,KEN,5,Frankfurt (GER),2011-10-30,23,32,2011,11.9,7589.0
382,2:06:29,Yemane TSEGAY,1985-04-08,ETH,10,Dubai (UAE),2012-01-27,26,35,2012,17.7,7589.0
383,2:06:29,Bernard Kiprop KOECH,1988-01-31,KEN,3,Amsterdam (NED),2013-10-20,25,32,2013,14.5,7589.0
384,2:06:29,Abraham KIPTUM,1989-09-15,KEN,1,Daegu (KOR),2018-04-01,28,31,2018,16.8,7589.0
386,2:06:30,Yemane TSEGAY,1985-04-08,ETH,4,Paris (FRA),2009-04-05,23,35,2009,12.5,7590.0
387,2:06:30,Sammy KITWARA,1986-11-26,KEN,3,Tokyo (JPN),2014-02-23,27,34,2014,5.5,7590.0
388,2:06:30,Tsegaye KEBEDE,1987-01-15,ETH,3,London (GBR),2014-04-13,27,33,2014,12.3,7590.0
389,2:06:31,Tadesse TOLA,1987-10-31,ETH,2,Frankfurt (GER),2010-10-31,23,33,2010,10.7,7591.0
390,2:06:31,Benjamin KIPTOO,1979-01-10,KEN,1,Paris (FRA),2011-04-10,32,41,2011,18.3,7591.0
391,2:06:31,Peter Cheruiyot KIRUI,1988-01-02,KEN,6,Frankfurt (GER),2011-10-30,23,32,2011,11.9,7591.0
392,2:06:31,Ayele ABSHERO,1990-12-28,ETH,4,London (GBR),2014-04-13,23,29,2014,12.3,7591.0
393,2:06:31,Daniel KEMBOI,1986-01-01,KEN,8,Amsterdam (NED),2019-10-20,33,34,2019,11.2,7591.0
395,2:06:32,Samuel Kamau WANJIRU,1986-11-10,KEN,1,"National Stadium, Beijing (CHN)",2008-08-24,21,34,2008,,7592.0
396,2:06:32,Adugna TAKELE,1989-02-26,ETH,7,Dubai (UAE),2019-01-25,29,31,2019,21.9,7592.0
397,2:06:32,Hicham LAQOUAHI,1989-06-13,MAR,1,Marrakesh (MAR),2020-01-26,30,31,2020,11.5,7592.0
398,2:06:33,Gert THYS,1971-11-12,RSA,1,Tokyo (JPN),1999-02-14,27,49,1999,3.9,7593.0
399,2:06:33,Michael Kosgei ROTICH,1982-10-29,KEN,1,Paris (FRA),2003-04-06,20,38,2003,7.9,7593.0
400,2:06:33,Chele DECHASA,1984-06-13,ETH,2,Dubai (UAE),2010-01-22,25,36,2010,22.2,7593.0
401,2:06:33,Nicholas KIPKEMBOI,1986-07-05,KEN,6,Dubai (UAE),2013-01-25,26,34,2013,19.9,7593.0
402,2:06:33,Tadesse TOLA,1987-10-31,ETH,2,Paris (FRA),2013-04-07,25,33,2013,6.5,7593.0
403,2:06:33,Emmanuel MUTAI,1984-10-12,KEN,2,London (GBR),2013-04-21,28,36,2013,8.6,7593.0
404,2:06:33,Stephen KIPROTICH,1989-02-27,UGA,2,Tokyo (JPN),2015-02-22,25,31,2015,6.3,7593.0
405,2:06:33,Mathew Kipkoech KISORIO,1989-05-16,KEN,2,Valencia (ESP),2015-11-15,26,31,2015,13.5,7593.0
406,2:06:33,Amos KIPRUTO,1992-09-16,KEN,3,Tokyo (JPN),2018-02-25,25,28,2018,5.7,7593.0
407,2:06:33,Laban Kipngetich KORIR,1985-06-30,KEN,6,Amsterdam (NED),2018-10-21,33,35,2018,13.1,7593.0
408,2:06:33,Barnabas KIPTUM,1986-12-08,KEN,4,Lisboa (POR),2019-10-20,32,34,2019,15.1,7593.0
409,2:06:34,Marilson GOMES DOS SANTOS,1977-08-06,BRA,4,London (GBR),2011-04-17,33,43,2011,14.0,7594.0
410,2:06:34,Nicholas Manza KAMAKYA,1985-03-02,KEN,4,Amsterdam (NED),2011-10-16,26,35,2011,8.3,7594.0
411,2:06:34,Eric NDIEMA,1992-12-28,KEN,3,Paris (FRA),2013-04-07,20,27,2013,6.5,7594.0
412,2:06:34,Dickson CHUMBA,1986-10-27,KEN,3,Tokyo (JPN),2015-02-22,28,34,2015,6.3,7594.0
413,2:06:34,Lani RUTTO,1989-03-29,KEN,2,Frankfurt (GER),2015-10-25,26,31,2015,10.2,7594.0
414,2:06:34,Soloman DEKSISA,1994-03-11,ETH,1,Hamburg (GER),2018-04-29,24,26,2018,13.7,7594.0
416,2:06:35,Haile GEBRSELASSIE,1973-04-18,ETH,3,London (GBR),2002-04-14,28,47,2002,8.0,7595.0
417,2:06:35,Stephen TUM,1986-07-12,KEN,1,Marrakesh (MAR),2013-01-27,26,34,2013,12.8,7595.0
418,2:06:35,Feyisa LILESA,1990-02-01,ETH,4,Dubai (UAE),2015-01-23,24,30,2015,18.8,7595.0
419,2:06:35,Evans KORIR,1987-07-10,KEN,2,Daegu (KOR),2018-04-01,30,33,2018,16.8,7595.0
420,2:06:35,Ayad LAMDASSEM,1981-10-11,ESP,12,Valencia (ESP),2020-12-06,39,39,2020,10.6,7595.0
421,2:06:36,António PINTO,1966-03-22,POR,1,London (GBR),2000-04-16,34,54,2000,8.1,7596.0
422,2:06:36,Benoit ZWIERZCHLEWSKI,1976-08-19,FRA,2,Paris (FRA),2003-04-06,26,44,2003,7.9,7596.0
423,2:06:36,Kenenisa BEKELE,1982-06-13,ETH,3,London (GBR),2016-04-24,33,38,2016,7.3,7596.0
424,2:06:36,Mathew Kipkoech KISORIO,1989-05-16,KEN,2,Paris (FRA),2018-04-08,28,31,2018,16.6,7596.0
425,2:06:36,Tsedat Abeje AYANA,1996-02-18,ETH,1,Sevilla (ESP),2019-02-17,22,24,2019,12.8,7596.0
426,2:06:37,Eric NDIEMA,1992-12-28,KEN,4,Paris (FRA),2012-04-15,19,27,2012,7.5,7597.0
427,2:06:37,Kelkile GEZAHEGN,1996-10-01,ETH,1,Frankfurt (GER),2018-10-28,22,24,2018,6.3,7597.0
428,2:06:38,Sammy Kipchoge KORIR,1971-12-12,KEN,1,Rotterdam (NED),2006-04-09,34,49,2006,6.1,7598.0
429,2:06:38,Deriba Merga EJIGU,1980-10-26,ETH,6,London (GBR),2008-04-13,27,40,2008,8.9,7598.0
430,2:06:38,Deribe ROBI,1990-09-26,ETH,3,Valencia (ESP),2017-11-19,27,30,2017,12.8,7598.0
