Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,TimeSec
2119,2:09:10,Samuel Kiplimo KOSGEI,1986-01-20,KEN,2,Valencia (ESP),2014-11-16,28,34,2014,7750.0
2120,2:09:10,Ezekiel KEMBOI OMULLO,1987-12-10,KEN,3,Wien (AUT),2017-04-23,29,33,2017,7750.0
2121,2:09:10,Alphonce Felix SIMBU,1992-02-14,TAN,5,London (GBR),2017-04-23,25,28,2017,7750.0
2123,2:09:11,Shigeru SOH,1953-01-09,JPN,3,Fukuoka (JPN),1983-12-04,30,67,1983,7751.0
2124,2:09:11,Joaquim PINHEIRO,1960-12-20,POR,3,Otsu (JPN),1997-03-02,36,59,1997,7751.0
2125,2:09:11,Masaki OYA,1966-07-11,JPN,8,Rotterdam (NED),1997-04-20,30,54,1997,7751.0
2126,2:09:11,Jackson KIPNGOK,1960-12-14,KEN,2,Praha (CZE),1997-05-25,36,60,1997,7751.0
2127,2:09:11,Akira SHIMIZU,1976-08-30,JPN,1,Oita (JPN),1998-02-01,21,44,1998,7751.0
2128,2:09:11,Josphat Machuka KIPRONO,1973-12-12,KEN,4,Rotterdam (NED),1998-04-19,24,47,1998,7751.0
2129,2:09:11,Samson KANDIE,1971-04-20,KEN,3,Berlin (GER),1998-09-20,27,49,1998,7751.0
2130,2:09:11,Bong-ju LEE,1970-10-11,KOR,4,Milano (ITA),2001-12-02,31,50,2001,7751.0
2131,2:09:11,Boniface USISIVU,1974-09-05,KEN,4,Roma (ITA),2003-03-23,28,46,2003,7751.0
2132,2:09:11,Rachid EL GHANMOUNI,1978-04-10,MAR,6,Paris (FRA),2006-04-09,27,42,2006,7751.0
2133,2:09:11,Abderrahim GOUMRI,1976-05-21,MAR,1,Seoul (KOR),2011-03-20,34,44,2011,7751.0
2134,2:09:11,Yemane TSEGAY,1985-04-08,ETH,1,Eindhoven (NED),2013-10-13,28,35,2013,7751.0
2135,2:09:11,Oleksandr SITKOVSKIY,1978-06-09,UKR,3,Marrakesh (MAR),2015-01-25,36,42,2015,7751.0
2136,2:09:11,Lucas Kimeli ROTICH,1990-04-16,KEN,1,Otsu (JPN),2016-03-06,25,30,2016,7751.0
2137,2:09:11,Yuki KAWAUCHI,1987-03-05,JPN,3,Fukuoka (JPN),2016-12-04,29,33,2016,7751.0
2138,2:09:11,Anthony MARITIM,1986-11-12,KEN,1,Linz (AUT),2017-04-09,30,34,2017,7751.0
2139,2:09:11,Dickson CHUMBA,1986-10-27,KEN,2,Toronto (CAN),2017-10-22,30,34,2017,7751.0
2140,2:09:11,Yihunilign ADANE,1996-02-29,ETH,3,Beppu (JPN),2019-02-03,22,24,2019,7751.0
2141,2:09:11,Dickson CHUMBA,1986-10-27,KEN,7,"Chicago, IL (USA)",2019-10-13,32,34,2019,7751.0
2142,2:09:11,Belay Asefa BEDADA,1992-06-17,ETH,16,Dubai (UAE),2020-01-24,27,28,2020,7751.0
2143,2:09:12,Ian THOMPSON,1949-10-16,GBR,1,Christchurch (NZL),1974-01-31,24,71,1974,7752.0
2144,2:09:12,Rodolfo GÓMEZ,1950-10-30,MEX,3,Tokyo (JPN),1983-02-13,32,70,1983,7752.0
2145,2:09:12,Takeyuki NAKAYAMA,1959-12-20,JPN,2,Oita (JPN),1991-02-03,31,60,1991,7752.0
2146,2:09:12,Feyisa LILESA,1990-02-01,ETH,1,Dublin (IRL),2009-10-26,19,30,2009,7752.0
2147,2:09:12,Michael CHEGE,1991-11-15,KEN,3,Ljubljana (SLO),2011-10-23,19,29,2011,7752.0
2148,2:09:12,Tomoyuki MORITA,1984-07-08,JPN,5,Otsu (JPN),2012-03-04,27,36,2012,7752.0
2149,2:09:12,Ishimael BUSHENDICH,1991-07-07,KEN,1,La Rochelle (FRA),2012-11-25,21,29,2012,7752.0
2150,2:09:12,Geoffrey KAMWOROR,1992-11-28,KEN,4,Rotterdam (NED),2013-04-14,20,28,2013,7752.0
2151,2:09:12,Hiroaki SANO,1988-02-28,JPN,9,Tokyo (JPN),2015-02-22,26,32,2015,7752.0
2152,2:09:12,Hiroyuki YAMAMOTO,1986-04-30,JPN,10,Tokyo (JPN),2017-02-26,30,34,2017,7752.0
2153,2:09:12,Edwin KIMAIYO,1986-01-01,KEN,4,Shanghai (CHN),2017-11-12,31,34,2017,7752.0
2154,2:09:12,Ayele ABSHERO,1990-12-28,ETH,4,Ljubljana (SLO),2018-10-28,27,29,2018,7752.0
2155,2:09:13,Vincent ROUSSEAU,1962-07-29,BEL,1,Reims (FRA),1993-10-17,31,58,1993,7753.0
2156,2:09:13,Antonio SERRANO,1965-03-08,ESP,3,Berlin (GER),1994-09-25,29,55,1994,7753.0
2157,2:09:13,Danilo GOFFI,1972-12-03,ITA,9,Rotterdam (NED),1997-04-20,24,48,1997,7753.0
2158,2:09:13,Abdellah BEHAR,1963-07-05,FRA,3,Paris (FRA),2000-04-09,36,57,2000,7753.0
2159,2:09:13,Gezahegn ABERA,1978-04-23,ETH,1,Fukuoka (JPN),2002-12-01,24,42,2002,7753.0
2160,2:09:13,Wataru OKUTANI,1975-01-09,JPN,4,Otsu (JPN),2005-03-06,30,45,2005,7753.0
2161,2:09:13,Robert CHEBOROR,1978-09-09,KEN,3,Amsterdam (NED),2008-10-19,30,42,2008,7753.0
2162,2:09:13,Francis Kibiwott LARABAL,1978-09-15,KEN,12,Paris (FRA),2009-04-05,30,42,2009,7753.0
2163,2:09:13,Dejene YIRDAWE,1978-08-21,ETH,1,Gongju (KOR),2010-10-17,32,42,2010,7753.0
2164,2:09:13,Deriba Merga EJIGU,1980-10-26,ETH,2,Otsu (JPN),2011-03-06,30,40,2011,7753.0
2165,2:09:13,Mebrahtom KEFLEZIGHI,1975-05-05,USA,6,"New York, NY (USA)",2011-11-06,36,45,2011,7753.0
2166,2:09:13,Julius Kiplagat KORIR,1982-01-10,KEN,2,Enschede (NED),2012-04-22,30,38,2012,7753.0
2167,2:09:13,Laban Kipkemoi MOIBEN,1983-10-30,KEN,1,Ottawa (CAN),2012-05-27,28,37,2012,7753.0
2168,2:09:13,Victor LEGAT,1985-01-01,KEN,5,Köln (GER),2012-10-14,27,35,2012,7753.0
2169,2:09:13,Dino SEFIR,1988-05-28,ETH,8,Tokyo (JPN),2013-02-24,24,32,2013,7753.0
2170,2:09:13,Benjamin Kipngetich BITOK,1980-09-17,KEN,3,Roma (ITA),2017-04-02,36,40,2017,7753.0
2171,2:09:13,Thomas KIPLAGAT,1987-03-01,KEN,1,Seoul (KOR),2017-11-05,30,33,2017,7753.0
2172,2:09:13,Philemon KACHERAN,1992-07-04,KEN,3,Cape Town (RSA),2018-09-23,26,28,2018,7753.0
2173,2:09:13,Desmond MOKGOBU,1988-11-23,RSA,21,Valencia (ESP),2020-12-06,32,32,2020,7753.0
2174,2:09:14,Jörg PETER,1955-10-23,GDR,1,Grünau (GDR),1984-07-21,28,65,1984,7754.0
2175,2:09:14,José Isidro RICO,1961-05-15,MEX,3,Kyongju (KOR),1994-03-20,32,59,1994,7754.0
2176,2:09:14,Fred KIPROP,1974-06-03,KEN,4,Rotterdam (NED),2003-04-13,28,46,2003,7754.0
2177,2:09:14,Ashebir Jate DEMISSIE,1977-01-01,ETH,5,Rotterdam (NED),2003-04-13,26,43,2003,7754.0
2178,2:09:14,Stefano BALDINI,1971-05-25,ITA,3,"Stade de France, Paris-St-Denis (FRA)",2003-08-30,32,49,2003,7754.0
2179,2:09:14,Robert KWAMBAI,1985-11-22,KEN,1,Padova (ITA),2012-04-22,26,35,2012,7754.0
2180,2:09:14,Julius NDERITU,1979-10-07,KEN,2,Ottawa (CAN),2012-05-27,32,41,2012,7754.0
2181,2:09:14,Takayuki MATSUMIYA,1980-02-21,JPN,9,Tokyo (JPN),2013-02-24,33,40,2013,7754.0
2182,2:09:14,Oleksandr SITKOVSKIY,1978-06-09,UKR,1,Firenze (ITA),2013-11-24,35,42,2013,7754.0
2183,2:09:14,Weldu Negash GEBRETSADIK,1986-11-12,ETH,5,Rotterdam (NED),2014-04-13,27,34,2014,7754.0
2184,2:09:14,Silah LIMO,1992-02-01,KEN,1,Gold Coast (AUS),2014-07-06,22,28,2014,7754.0
2185,2:09:14,Seboka NIGUSSE,1984-01-01,ETH,6,Amsterdam (NED),2015-10-18,31,36,2015,7754.0
2186,2:09:14,John KORIR,1996-12-02,KEN,2,Ottawa (CAN),2018-05-27,21,24,2018,7754.0
2187,2:09:14,Herpasa NEGASA,1993-09-11,ETH,2,Hengshui (CHN),2018-09-29,25,27,2018,7754.0
2188,2:09:14,Morhad AMDOUNI,1988-06-21,FRA,8,Paris (FRA),2019-04-14,30,32,2019,7754.0
2189,2:09:14,Abera KUMA,1990-08-31,ETH,6,Toronto (CAN),2019-10-20,29,30,2019,7754.0
2190,2:09:14,Limenih GETACHEW,1990-04-30,ETH,3,Shanghai (CHN),2019-11-17,29,30,2019,7754.0
2191,2:09:15,Abel ANTÓN,1962-10-24,ESP,1,Berlin (GER),1996-09-29,33,58,1996,7755.0
2192,2:09:15,Jackson KABIGA,1976-12-01,KEN,6,Berlin (GER),1997-09-28,20,44,1997,7755.0
2193,2:09:15,Tsuyoshi OGATA,1973-05-11,JPN,2,Fukuoka (JPN),2002-12-01,29,47,2002,7755.0
2194,2:09:15,Jaouad GHARIB,1972-05-22,MAR,6,Rotterdam (NED),2003-04-13,30,48,2003,7755.0
2195,2:09:15,Pavel LOSKUTOV,1969-12-02,EST,1,Seoul (KOR),2003-11-02,33,51,2003,7755.0
2196,2:09:15,José RÍOS,1974-03-15,ESP,1,Otsu (JPN),2006-03-05,31,46,2006,7755.0
2197,2:09:15,Jackson KOECH,1978-12-26,KEN,5,Rotterdam (NED),2006-04-09,27,41,2006,7755.0
2198,2:09:15,Evans Kiprop CHERUIYOT,1982-05-10,KEN,1,Milano (ITA),2007-12-02,25,38,2007,7755.0
2199,2:09:15,Paul Malakwen KOSGEI,1978-04-22,KEN,8,Paris (FRA),2008-04-06,29,42,2008,7755.0
2200,2:09:15,Kedir Fikadu KASSA,1984-01-01,ETH,4,Roma (ITA),2010-03-21,26,36,2010,7755.0
2201,2:09:15,Jafred Chirchir KIPCHUMBA,1983-08-08,KEN,1,Milano (ITA),2010-04-11,26,37,2010,7755.0
2202,2:09:15,Peter Cheruiyot KIRUI,1988-01-02,KEN,10,Amsterdam (NED),2012-10-21,24,32,2012,7755.0
2203,2:09:15,Yuki KAWAUCHI,1987-03-05,JPN,2,Hofu (JPN),2013-12-15,26,33,2013,7755.0
2204,2:09:15,Ezekiel CHEBII,1991-01-03,KEN,1,Madrid (ESP),2014-04-27,23,29,2014,7755.0
2205,2:09:15,Daniel Kipkurgat RONO,1978-07-13,KEN,6,Seoul (KOR),2014-11-09,36,42,2014,7755.0
2206,2:09:15,Vincent KIPRUTO,1987-09-13,KEN,2,Otsu (JPN),2017-03-05,29,33,2017,7755.0
2207,2:09:15,Cosmas LAGAT,1990-12-12,KEN,1,Mumbai (IND),2019-01-20,28,30,2019,7755.0
2208,2:09:15,Kohei FUTAOKA,1994-02-05,JPN,4,Beppu (JPN),2019-02-03,24,26,2019,7755.0
2209,2:09:15,Abera KUMA,1990-08-31,ETH,7,Mumbai (IND),2020-01-19,29,30,2020,7755.0
2210,2:09:15,Hassan CHAHDI,1989-05-07,FRA,22,Valencia (ESP),2020-12-06,31,31,2020,7755.0
2211,2:09:16,Allister HUTTON,1954-07-18,GBR,3,London (GBR),1985-04-21,30,66,1985,7756.0
2212,2:09:16,Salvador GARCÍA,1960-10-29,MEX,1,Rotterdam (NED),1992-04-05,31,60,1992,7756.0
2213,2:09:16,Leonid SHVETSOV,1969-03-28,RUS,3,Praha (CZE),1997-05-25,28,51,1997,7756.0
2214,2:09:16,Toshinari SUWA,1977-01-29,JPN,4,Tokyo (JPN),2008-02-17,31,43,2008,7756.0
2215,2:09:16,Atsushi SATO,1978-05-08,JPN,8,London (GBR),2009-04-26,30,42,2009,7756.0
2216,2:09:16,Albert Kiplagat MATEBOR,1980-12-25,KEN,1,Verona (ITA),2011-02-20,30,39,2011,7756.0
2217,2:09:16,Girma BEYENE,1983-11-28,ETH,5,Valencia (ESP),2011-11-27,27,37,2011,7756.0
2218,2:09:16,Takashi HORIGUCHI,1979-09-26,JPN,6,Otsu (JPN),2012-03-04,32,41,2012,7756.0
2219,2:09:16,Jason MBOTE,1977-01-05,KEN,6,Gongju (KOR),2012-10-21,35,43,2012,7756.0
2220,2:09:16,Victor KIPCHIRCHIR,1987-12-05,KEN,7,Frankfurt (GER),2012-10-28,24,33,2012,7756.0
2221,2:09:16,Tsegaye KEBEDE,1987-01-15,ETH,2,"New York, NY (USA)",2013-11-03,26,33,2013,7756.0
2222,2:09:16,Tewelde ESTIFANOS,1987-10-02,ERI,7,Frankfurt (GER),2015-10-25,28,33,2015,7756.0
2223,2:09:16,Hisanori KITAJIMA,1984-10-16,JPN,2,Otsu (JPN),2016-03-06,31,36,2016,7756.0
2224,2:09:16,Laban MUTAI,1988-01-15,KEN,1,Ljubljana (SLO),2016-10-30,28,32,2016,7756.0
2225,2:09:16,Mohamed Reda EL AARABY,1989-11-12,MAR,11,"Chicago, IL (USA)",2018-10-07,28,31,2018,7756.0
2226,2:09:16,Zelalem BACHA,1988-01-10,BRN,6,Seoul (KOR),2018-11-04,30,32,2018,7756.0
2227,2:09:16,Henry Kipsigei CHIRCHIR,1985-05-14,KEN,5,Wien (AUT),2019-04-07,33,35,2019,7756.0
2228,2:09:16,Fikadu TEFERI,1993-10-07,ETH,3,Abu Dhabi (UAE),2019-12-06,26,27,2019,7756.0
2229,2:09:17,Takeshi SOH,1953-01-09,JPN,4,Fukuoka (JPN),1983-12-04,30,67,1983,7757.0
2230,2:09:17,Yakov TOLSTIKOV,1959-05-20,URS,1,London (GBR),1991-04-21,31,61,1991,7757.0
2231,2:09:17,Abebe MEKONNEN,1964-01-09,ETH,2,London (GBR),1994-04-17,30,56,1994,7757.0
2232,2:09:17,Mohamed OUAADI,1969-01-01,FRA,6,Paris (FRA),1999-04-04,30,51,1999,7757.0
2233,2:09:17,Abraham LIMO,1963-12-10,KEN,2,Amsterdam (NED),2000-10-15,36,57,2000,7757.0
2234,2:09:17,Mark STEINLE,1974-11-22,GBR,8,London (GBR),2002-04-14,27,46,2002,7757.0
2235,2:09:17,Mathew SIGEI,1982-01-01,KEN,1,Brescia (ITA),2003-03-09,21,38,2003,7757.0
2236,2:09:17,Tesfaye TOLA,1974-10-19,ETH,3,Amsterdam (NED),2005-10-16,30,46,2005,7757.0
2237,2:09:17,Alfred KERING,1978-11-20,KEN,5,Eindhoven (NED),2010-10-10,31,42,2010,7757.0
2238,2:09:17,Ronald Kipchumba RUTTO,1987-10-08,KEN,7,Frankfurt (GER),2010-10-31,23,33,2010,7757.0
2239,2:09:17,Isaac TOROITICH KOSGEI,1981-01-01,KEN,1,Enschede (NED),2013-04-21,32,39,2013,7757.0
2240,2:09:17,Feysa BEKELE,1983-08-04,ETH,6,Frankfurt (GER),2013-10-27,30,37,2013,7757.0
2241,2:09:17,Duncan Cheruiyot KOECH,1981-12-28,KEN,4,Wien (AUT),2014-04-13,32,38,2014,7757.0
2242,2:09:17,Wesley KORIR,1982-11-15,KEN,4,Ottawa (CAN),2014-05-25,31,38,2014,7757.0
2243,2:09:17,Tesfa WOKNETH,1984-09-30,ETH,2,Roma (ITA),2019-04-07,34,36,2019,7757.0
2244,2:09:17,Paul MAINA,1992-12-31,KEN,7,Praha (CZE),2019-05-05,26,27,2019,7757.0
2245,2:09:17,Stanley BETT,1986-12-13,KEN,15,Sevilla (ESP),2020-02-23,33,34,2020,7757.0
2246,2:09:17,Nicolas NAVARRO,1991-03-12,FRA,23,Valencia (ESP),2020-12-06,29,29,2020,7757.0
2247,2:09:18,Robert DE CASTELLA,1957-02-27,AUS,1,Brisbane (AUS),1982-10-08,25,63,1982,7758.0
2248,2:09:18,Germán SILVA,1968-01-09,MEX,3,London (GBR),1994-04-17,26,52,1994,7758.0
2249,2:09:18,Paul William EVANS,1961-04-13,GBR,8,London (GBR),1997-04-13,36,59,1997,7758.0
2250,2:09:18,Guangyu HU,1970-12-04,CHN,1,Beijing (CHN),1997-10-04,26,50,1997,7758.0
2251,2:09:18,Zebedaiyo BAYO,1976-05-20,TAN,4,Paris (FRA),2000-04-09,23,44,2000,7758.0
2252,2:09:18,Takeshi HAMANO,1974-07-30,JPN,5,Otsu (JPN),2002-03-03,27,46,2002,7758.0
2253,2:09:18,Ian SYSTER,1976-01-20,RSA,9,London (GBR),2003-04-13,27,44,2003,7758.0
2254,2:09:18,Yuko MATSUMIYA,1980-02-21,JPN,5,Otsu (JPN),2005-03-06,25,40,2005,7758.0
2255,2:09:18,Wilfred Kibet KIGEN,1975-02-23,KEN,2,Hamburg (GER),2005-04-24,30,45,2005,7758.0
2256,2:09:18,Emmanuel MUTAI,1984-10-12,KEN,2,"New York, NY (USA)",2010-11-07,26,36,2010,7758.0
2257,2:09:18,Mikel Kiprotich MUTAI,1987-11-20,KEN,16,Dubai (UAE),2012-01-27,24,33,2012,7758.0
2258,2:09:18,Benjamin NGANDU,1990-03-21,KEN,10,Tokyo (JPN),2015-02-22,24,30,2015,7758.0
2259,2:09:18,Yuki KAWAUCHI,1987-03-05,JPN,3,Gold Coast (AUS),2017-07-02,30,33,2017,7758.0
2260,2:09:18,Mohamed Reda EL AARABY,1989-11-12,MAR,11,Tokyo (JPN),2018-02-25,28,31,2018,7758.0
2261,2:09:18,Yuki SATO,1986-11-26,JPN,6,Berlin (GER),2018-09-16,31,34,2018,7758.0
2262,2:09:18,Seifu TURA,1997-06-19,ETH,1,Shanghai (CHN),2018-11-18,21,23,2018,7758.0
2263,2:09:18,Tsegaye MEKONNEN,1995-06-15,ETH,2,Shanghai (CHN),2018-11-18,23,25,2018,7758.0
2264,2:09:18,CyBrian KOTUT,1992-06-06,KEN,1,Kraków (POL),2019-04-28,26,28,2019,7758.0
2265,2:09:18,Shoma YAMAMOTO,1995-04-10,JPN,5,Otsu (JPN),2020-03-08,24,25,2020,7758.0
2266,2:09:19,Wan-ki KIM,1968-07-08,KOR,4,Kyongju (KOR),1996-03-24,27,52,1996,7759.0
2267,2:09:19,Elijah LAGAT,1966-06-19,KEN,2,Torino (ITA),1997-05-11,30,54,1997,7759.0
2268,2:09:19,Alfred KERING,1978-11-20,KEN,6,Rotterdam (NED),2009-04-05,30,42,2009,7759.0
2269,2:09:19,Wesley KORIR,1982-11-15,KEN,1,"Los Angeles, CA (USA)",2010-03-21,27,38,2010,7759.0
2270,2:09:19,Elijah KEITANY,1983-10-18,KEN,8,Frankfurt (GER),2010-10-31,27,37,2010,7759.0
2271,2:09:19,Berhanu SHIFERAW,1993-05-31,ETH,4,Ljubljana (SLO),2011-10-23,18,27,2011,7759.0
2272,2:09:19,Tariku JUFAR,1984-07-18,ETH,10,Paris (FRA),2012-04-15,27,36,2012,7759.0
2273,2:09:19,Jonathan MAIYO,1988-05-05,KEN,7,Berlin (GER),2012-09-30,24,32,2012,7759.0
2274,2:09:19,Bazu WORKU HAYLA,1990-09-15,ETH,2,Eindhoven (NED),2013-10-13,23,30,2013,7759.0
2275,2:09:19,Ezekiel KEMBOI OMULLO,1987-12-10,KEN,1,Warszawa (POL),2015-09-27,27,33,2015,7759.0
2276,2:09:19,Alphonce Felix SIMBU,1992-02-14,TAN,3,Otsu (JPN),2016-03-06,24,28,2016,7759.0
2277,2:09:19,Nobert KIGEN,1993-01-24,KEN,3,Eindhoven (NED),2016-10-09,23,27,2016,7759.0
2278,2:09:19,Philip Sanga KIMUTAI,1983-09-10,KEN,2,Ljubljana (SLO),2016-10-30,33,37,2016,7759.0
2279,2:09:19,Chele DECHASA,1984-06-13,ETH,3,Seoul (KOR),2016-10-30,32,36,2016,7759.0
2280,2:09:19,Mathew KIPSAAT,1987-03-23,KEN,4,Roma (ITA),2017-04-02,30,33,2017,7759.0
2281,2:09:19,Barnabas KIPTUM,1986-12-08,KEN,2,Buenos Aires (ARG),2018-09-23,31,34,2018,7759.0
2282,2:09:19,Felix CHEMONGES,1995-10-10,UGA,2,Linz (AUT),2019-04-14,23,25,2019,7759.0
2283,2:09:19,Haruki MINATOYA,1996-04-25,JPN,8,Oita (JPN),2020-02-02,23,24,2020,7759.0
2284,2:09:19,Yohanes GHEBREGERGIS,1989-01-01,ERI,24,Valencia (ESP),2020-12-06,31,31,2020,7759.0
2285,2:09:20,Yakov TOLSTIKOV,1959-05-20,URS,2,"Chicago, IL (USA)",1988-10-30,29,61,1988,7760.0
2286,2:09:20,Paul William EVANS,1961-04-13,GBR,6,"Chicago, IL (USA)",1997-10-19,36,59,1997,7760.0
2287,2:09:20,Willy CHERUIYOT,1974-08-02,KEN,1,Eindhoven (NED),2004-10-10,30,46,2004,7760.0
2288,2:09:20,Noah BOR,1977-07-28,KEN,5,Eindhoven (NED),2005-10-09,28,43,2005,7760.0
2289,2:09:20,John Kirwa BIRGEN,1974-01-01,KEN,2,Milano (ITA),2007-12-02,33,46,2007,7760.0
2290,2:09:20,Samson BARMAO,1982-04-17,KEN,4,Eindhoven (NED),2009-10-11,27,38,2009,7760.0
2291,2:09:20,Haile Haja GEMEDA,1988-10-22,ETH,3,Daegu (KOR),2011-04-10,22,32,2011,7760.0
2292,2:09:20,Stephen CHEBOGUT,1985-01-09,KEN,12,Dubai (UAE),2013-01-25,28,35,2013,7760.0
2293,2:09:20,Laban Kipngetich KORIR,1985-06-30,KEN,3,Toronto (CAN),2015-10-18,30,35,2015,7760.0
2294,2:09:20,Seboka Dibaba TOLA,1987-11-10,ETH,2,Mumbai (IND),2016-01-17,28,33,2016,7760.0
2295,2:09:20,Galen RUPP,1986-05-08,USA,1,"Chicago, IL (USA)",2017-10-08,31,34,2017,7760.0
2296,2:09:20,Mekuant Ayenew GEBRE,1991-01-01,ETH,9,Dubai (UAE),2018-01-26,27,29,2018,7760.0
2297,2:09:20,Paul KIOS KANGOGO,1989-04-04,KEN,3,Roma (ITA),2018-04-08,29,31,2018,7760.0
2298,2:09:20,Barnabas KIPTUM,1986-12-08,KEN,1,Hong Kong (HKG),2019-02-17,32,34,2019,7760.0
2299,2:09:20,Edwin KOECH,1987-12-14,KEN,1,Cape Town (RSA),2019-09-15,31,33,2019,7760.0
2300,2:09:20,Tamirat TOLA,1991-08-11,ETH,4,"New York, NY (USA)",2019-11-03,28,29,2019,7760.0
2301,2:09:20,Galen RUPP,1986-05-08,USA,1,"Atlanta, GA (USA)",2020-02-29,33,34,2020,7760.0
2302,2:09:21,Alberto SALAZAR,1958-08-07,USA,5,Fukuoka (JPN),1983-12-04,25,62,1983,7761.0
2303,2:09:21,Carlos LOPES,1947-02-18,POR,1,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-12,37,73,1984,7761.0
2304,2:09:21,Yi-yong KIM,1973-09-20,KOR,2,Chuncheon (KOR),1997-10-26,24,47,1997,7761.0
2305,2:09:21,Moges TAYE,1973-12-12,ETH,1,Wien (AUT),1998-05-24,24,47,1998,7761.0
2306,2:09:21,Raymond Kipkoech CHEMWELO,1978-07-19,KEN,5,Berlin (GER),2003-09-28,25,42,2003,7761.0
2307,2:09:21,Stephen KIOGORA,1974-11-10,KEN,7,"Chicago, IL (USA)",2004-10-10,29,46,2004,7761.0
2308,2:09:21,Thomas CHEMITEI,1978-05-22,KEN,6,Eindhoven (NED),2005-10-09,27,42,2005,7761.0
2310,2:09:21,Mebrahtom KEFLEZIGHI,1975-05-05,USA,9,London (GBR),2009-04-26,33,45,2009,7761.0
2311,2:09:21,Bellor Miningwo YATOR,1984-01-01,QAT,5,Barcelona (ESP),2010-03-07,26,36,2010,7761.0
2312,2:09:21,Siraj Amda GENA,1984-11-12,ETH,2,Roma (ITA),2011-03-20,26,36,2011,7761.0
2313,2:09:21,David Kemboi KIYENG,1983-04-22,KEN,2,Seoul (KOR),2011-11-06,28,37,2011,7761.0
2314,2:09:21,Isaiah KOSGEI,1974-01-01,KEN,5,Hengshui (CHN),2012-09-22,38,46,2012,7761.0
2315,2:09:21,Robert KWAMBAI,1985-11-22,KEN,1,Linz (AUT),2013-04-21,27,35,2013,7761.0
2316,2:09:21,Elija KEMBOI,1984-09-10,KEN,5,Amsterdam (NED),2014-10-19,30,36,2014,7761.0
2317,2:09:21,Koji GOKAYA,1988-02-22,JPN,11,Tokyo (JPN),2015-02-22,27,32,2015,7761.0
2318,2:09:21,Abayneh AYELE,1987-11-04,ETH,4,Rotterdam (NED),2015-04-12,27,33,2015,7761.0
2319,2:09:21,Marius KIPSEREM,1988-05-17,KEN,1,Hefei (CHN),2015-10-25,27,32,2015,7761.0
2320,2:09:21,Barnabas KIPTUM,1986-12-08,KEN,3,Cape Town (RSA),2016-09-18,29,34,2016,7761.0
2321,2:09:21,Michel GITHAE,1994-08-26,KEN,4,Otsu (JPN),2018-03-04,23,26,2018,7761.0
2322,2:09:21,Kipkemoi KIPSANG,1990-10-10,KEN,4,Cape Town (RSA),2018-09-23,27,30,2018,7761.0
2323,2:09:21,Dickson TUWEI,1992-10-31,KEN,3,Shanghai (CHN),2018-11-18,26,28,2018,7761.0
2324,2:09:21,Yuki KAWAUCHI,1987-03-05,JPN,8,Otsu (JPN),2019-03-10,32,33,2019,7761.0
2325,2:09:22,Peter Kiplagat CHEBET,1976-06-24,KEN,4,Milano (ITA),2002-12-01,26,44,2002,7762.0
2326,2:09:22,David RUTO,1980-01-01,KEN,3,Eindhoven (NED),2003-10-12,23,40,2003,7762.0
2327,2:09:22,Laban KIPKEMBOI,1977-12-30,KEN,6,"Chicago, IL (USA)",2005-10-09,27,42,2005,7762.0
2328,2:09:22,Jonathan Kosgei KIPKORIR,1982-12-29,KEN,4,Amsterdam (NED),2008-10-19,25,37,2008,7762.0
2329,2:09:22,Jonathan Kosgei KIPKORIR,1982-12-29,KEN,5,Eindhoven (NED),2009-10-11,26,37,2009,7762.0
2330,2:09:22,Vincent Kiplagat MITEI,1984-08-10,KEN,6,"Houston, TX (USA)",2010-01-17,25,36,2010,7762.0
2331,2:09:22,Wilfred Kibet KIGEN,1975-02-23,KEN,1,Hamburg (GER),2010-04-25,35,45,2010,7762.0
2332,2:09:22,Evans KIPLAGAT,1988-03-05,KEN,3,Wien (AUT),2011-04-17,23,32,2011,7762.0
2333,2:09:22,Chele DECHASA,1984-06-13,ETH,17,Dubai (UAE),2012-01-27,27,36,2012,7762.0
2334,2:09:22,Essa Ismail RASHED,1986-12-14,QAT,11,Amsterdam (NED),2012-10-21,25,34,2012,7762.0
2335,2:09:22,Dino SEFIR,1988-05-28,ETH,7,Frankfurt (GER),2013-10-27,25,32,2013,7762.0
2336,2:09:22,Lucas Kimeli ROTICH,1990-04-16,KEN,8,Hamburg (GER),2014-05-04,24,30,2014,7762.0
2337,2:09:22,Francis KIPROP,1984-12-25,KEN,3,Valencia (ESP),2014-11-16,29,35,2014,7762.0
2338,2:09:22,Abraham CHERKOS,1989-09-23,ETH,3,Seoul (KOR),2015-11-01,26,31,2015,7762.0
2339,2:09:22,Peter Kimeli SOME,1990-06-05,KEN,2,Daegu (KOR),2017-04-02,26,30,2017,7762.0
2340,2:09:22,Philemon RONO,1991-02-08,KEN,8,Rotterdam (NED),2017-04-09,26,29,2017,7762.0
2341,2:09:22,Kiprotich KIRUI,1984-12-22,KEN,1,Tallinn (EST),2017-09-10,32,35,2017,7762.0
2342,2:09:22,Amanuel MESEL,1990-12-29,ERI,5,Fukuoka (JPN),2017-12-03,26,29,2017,7762.0
2343,2:09:23,Christoph HERLE,1955-11-19,FRG,4,London (GBR),1985-04-21,29,65,1985,7763.0
2344,2:09:23,Jörg PETER,1955-10-23,GDR,3,Berlin (GER),1990-09-30,34,65,1990,7763.0
